frame index, translation vector, rotation vector
1, [0.30385612 0.16032733 0.57701093], [-2.59092331  0.07156657  0.28589067]
2, [ 0.19528355 -0.65417527  0.6073557 ], [1.44464908 0.53885989 0.04094774]
3, [ 0.1939215  -0.65077834  0.60332739], [1.44378178 0.52728422 0.03585223]
4, [ 0.19378798 -0.650926    0.6024296 ], [1.43418388 0.52396426 0.03305329]
5, [ 0.19452332 -0.65282821  0.60430256], [1.4554204  0.52307869 0.03933856]
6, [ 0.19435327 -0.65312231  0.60355995], [1.44574101 0.53890381 0.04659495]
7, [ 0.19352796 -0.65218416  0.60137741], [1.43117723 0.54532693 0.04440598]
8, [ 0.19120686 -0.6483843   0.59508351], [1.41610583 0.53937299 0.03701248]
9, [ 0.19173499 -0.65162281  0.59735405], [1.44749847 0.52289737 0.03636334]
10, [ 0.19227574 -0.65535111  0.60018852], [1.428428   0.54813974 0.04596458]
11, [ 0.19154132 -0.65429906  0.59816627], [1.44971256 0.5351229  0.04700611]
12, [ 0.19154153 -0.65444563  0.5980275 ], [1.4494041  0.53564478 0.04717104]
13, [ 0.1920253  -0.65464921  0.59832745], [1.43567452 0.53778626 0.05049915]
14, [ 0.19173566 -0.65311043  0.59643766], [1.42271105 0.54252098 0.04766824]
15, [ 0.19173458 -0.65340082  0.59615579], [1.4223054  0.5426539  0.04786487]
16, [ 0.19308626 -0.65666477  0.59907037], [1.41262631 0.55102459 0.05032372]
17, [ 0.1922192  -0.65362016  0.59421185], [1.4116293  0.53856939 0.04544494]
18, [ 0.19306171 -0.65763436  0.59579051], [1.41455115 0.54457207 0.04508522]
19, [ 0.19209548 -0.65772911  0.59182278], [1.39300335 0.5441326  0.0513051 ]
20, [ 0.19250697 -0.6619719   0.59182091], [1.41189283 0.54361961 0.05860342]
21, [ 0.19143835 -0.66319107  0.58842959], [-0.02762229 -0.06166306  0.03631094]
22, [ 0.19215606 -0.66666315  0.58527106], [1.35396523 0.5346116  0.0535753 ]
23, [ 0.19153912 -0.66719492  0.58003436], [-0.00016787 -0.06267474  0.02597892]
24, [ 0.19134679 -0.66726032  0.57128375], [1.30094077 0.53847419 0.07896831]
25, [ 0.19215271 -0.67035466  0.56719537], [ 0.03018656 -0.06111856  0.0324292 ]
26, [ 0.19574556 -0.67865133  0.56798284], [1.30436114 0.52499243 0.0694443 ]
27, [ 0.19658118 -0.68033638  0.56181287], [-0.01032469 -0.05223647  0.04492953]
28, [ 0.19917778 -0.68398004  0.55649299], [1.26793966 0.52617546 0.08402064]
29, [ 0.20360992 -0.69285662  0.55999555], [-0.01022754 -0.04080693  0.03440112]
30, [ 0.20584167 -0.6952955   0.5524814 ], [-0.00369787 -0.06338829  0.04625229]
31, [ 0.20713781 -0.69466483  0.5402375 ], [ 0.01060974 -0.04162612  0.06647777]
32, [ 0.21424845 -0.7090803   0.54764602], [1.25094829 0.45288142 0.0699079 ]
33, [ 0.22291322 -0.72556348  0.56352159], [-0.10700591 -0.03865355  0.06964502]
34, [ 0.22187206 -0.71589737  0.53794743], [-0.04115523 -0.05924588  0.05150762]
35, [ 0.22678516 -0.72736633  0.5415106 ], [1.16508415 0.45611393 0.08622695]
36, [ 0.2302323  -0.73660755  0.54392928], [-0.03024751 -0.12329806  0.03093555]
37, [ 0.23100352 -0.73835881  0.53310058], [-0.02128212 -0.07461584  0.04864402]
38, [ 0.23186196 -0.73549928  0.51599089], [-0.00446419 -0.03906138  0.08995668]
39, [ 0.23789804 -0.74448847  0.51909827], [-0.05172981  0.00458937  0.10332008]
40, [ 0.24334809 -0.75179201  0.52016912], [0.00060319 0.01065539 0.08646517]
41, [ 0.24963017 -0.763014    0.52837335], [-0.10867685  0.05370561  0.08338094]
42, [ 0.25773125 -0.77318977  0.53787683], [-0.11905708  0.04564784  0.08446907]
43, [ 0.26483026 -0.78210539  0.54724809], [-0.15346828  0.15653036  0.1104005 ]
44, [ 0.26890115 -0.78594626  0.54366696], [-0.11648192  0.17776837  0.11761123]
