frame index, translation vector, rotation vector
1, [ 0.23882115 -0.5205455   0.58117588], [ 0.02688069 -0.00786188 -0.01455475]
2, [ 0.23781617 -0.51307688  0.57480774], [ 0.04718711  0.01335502 -0.01792964]
3, [ 0.2380468  -0.51502381  0.57612705], [ 0.03592284  0.02743929 -0.01087134]
4, [ 0.23813208 -0.51594044  0.57618831], [ 0.04207927  0.01827905 -0.01146863]
5, [ 0.23735582 -0.51295764  0.57281909], [ 0.04687636  0.02238939 -0.00692927]
6, [ 0.23740363 -0.51387192  0.57256191], [ 0.03675353  0.01460509 -0.00566416]
7, [ 0.23772283 -0.51897004  0.5758448 ], [ 0.02027474  0.00286941 -0.00796156]
8, [ 0.23665047 -0.51731831  0.5725832 ], [ 0.03148778  0.00325821 -0.01442437]
9, [ 0.23667619 -0.52089654  0.57448245], [ 0.01768096  0.00130095 -0.00668251]
10, [ 0.23474269 -0.51530107  0.56800039], [ 0.04397321  0.01327272 -0.01007623]
11, [ 0.2357125  -0.52265663  0.57390149], [-0.00099595  0.00251728 -0.00304901]
12, [ 0.23375972 -0.51408769  0.5652637 ], [ 0.04715956  0.00619353 -0.01615839]
13, [ 0.23512584 -0.51671158  0.56837041], [ 0.0240156  -0.00109055 -0.00738776]
14, [ 0.23466999 -0.51299168  0.56475378], [ 0.05575332  0.01366992 -0.01740191]
15, [ 0.23578529 -0.51863091  0.56970593], [ 0.02898302  0.01075033 -0.00297279]
16, [ 0.23649603 -0.51908476  0.56999367], [ 0.03571917  0.007623   -0.01445448]
17, [ 0.23612949 -0.51664197  0.56614265], [ 0.05715145  0.01424914 -0.02325131]
18, [ 0.23607886 -0.51790776  0.5647967 ], [ 0.05302771  0.00728648 -0.01161944]
19, [ 0.23490407 -0.517225    0.55999452], [ 0.07231087  0.01279774 -0.01922203]
20, [ 0.23591965 -0.52570809  0.56377346], [ 0.04726084  0.00487301 -0.01464281]
21, [ 0.23519486 -0.52579544  0.55859739], [ 0.05426754 -0.00290358 -0.01008688]
22, [ 0.23576683 -0.53150581  0.55808297], [ 0.06051651  0.00262683 -0.01549384]
23, [ 0.23549287 -0.52924391  0.54948061], [0.06203231 0.00853953 0.01026763]
24, [ 0.23704946 -0.53610705  0.54924846], [ 0.06505764 -0.00348144  0.00417876]
25, [ 0.2377213  -0.53719778  0.54231569], [ 0.11596438 -0.01269877  0.00119572]
26, [ 0.23922542 -0.540654    0.53779576], [ 0.08822834 -0.00906983 -0.00568434]
27, [ 0.24133266 -0.54552161  0.53462995], [ 0.06513908 -0.00268703  0.01304645]
28, [ 0.24416197 -0.54922165  0.53036227], [ 0.06277728 -0.0170787   0.01209655]
29, [ 0.24705091 -0.5541692   0.5264745 ], [0.09478009 0.0044129  0.01318846]
30, [ 0.25145144 -0.56594154  0.52899677], [ 0.04763727 -0.03214407  0.01682262]
31, [ 0.25313243 -0.56216735  0.51466944], [0.11767682 0.01203994 0.02054863]
32, [ 0.25879073 -0.5758461   0.51856253], [1.38071679 0.25227891 0.01428447]
33, [ 0.26610969 -0.59574448  0.53325299], [ 0.01291872 -0.00206675  0.00475897]
34, [ 0.26878767 -0.59264409  0.51992197], [0.03388216 0.01201728 0.01683843]
35, [ 0.2715926  -0.59924773  0.51607319], [ 0.07262476 -0.0312932  -0.00150741]
36, [ 0.27486727 -0.61399347  0.52266488], [ 0.02660349 -0.08173608 -0.00509969]
37, [ 0.27659408 -0.61966983  0.51776167], [ 0.00373124 -0.01794743  0.01528199]
38, [ 0.2798335  -0.62261167  0.51046905], [0.0118323  0.03231442 0.0528336 ]
39, [ 0.28385696 -0.62441992  0.50221851], [0.05071262 0.07267179 0.06973643]
40, [ 0.28943362 -0.63871665  0.51004924], [0.01680295 0.04275487 0.04438219]
41, [ 0.2938946  -0.64676741  0.51073451], [0.00384686 0.08237019 0.07390469]
42, [ 0.30388098 -0.68538131  0.55503654], [-0.12474607  0.07922299  0.04636497]
43, [ 0.30961735 -0.69136092  0.55671812], [-0.13455784  0.14929338  0.05798197]
44, [ 0.31314252 -0.68697485  0.54137581], [-0.05356963  0.16376946  0.06342127]
45, [ 0.31614765 -0.70104951  0.55178822], [-0.11977063  0.14817424  0.06379166]
46, [ 0.31750949 -0.71680597  0.5657908 ], [-0.17075975  0.15779703  0.07053298]
47, [ 0.31881147 -0.72677459  0.5735789 ], [-0.18585269  0.17797048  0.0742537 ]
48, [ 0.31998381 -0.73105821  0.57381654], [-0.17220549  0.21099834  0.08144934]
49, [ 0.32192184 -0.7434665   0.58683141], [-0.2197357   0.20824688  0.08123947]
50, [ 0.3246256  -0.75557072  0.59812362], [-0.23067361  0.22907609  0.07986082]
51, [ 0.33032317 -0.7847654   0.63323615], [-0.27011133  0.31791812  0.09576717]
52, [ 0.33313344 -0.79347637  0.63946761], [-0.29634068  0.3095348   0.0749042 ]
53, [ 0.33526169 -0.79569285  0.63648305], [-0.33667804  0.27035487  0.03768131]
54, [ 0.33566411 -0.79136379  0.62590963], [-0.33712638  0.25711753  0.04020148]
55, [ 0.33546059 -0.79300702  0.62808873], [-0.33172445  0.2670355   0.02262457]
56, [ 0.33645926 -0.79089633  0.62694672], [-0.29703283  0.26144714  0.00407279]
57, [ 0.33690324 -0.78450833  0.61935869], [-0.27407702  0.2577971   0.01137271]
58, [ 0.33794745 -0.79019054  0.63110695], [-0.29838547  0.25733909 -0.00146476]
59, [ 0.3382387  -0.78874304  0.6304599 ], [-0.30977011  0.2685629  -0.00896015]
60, [ 0.33763826 -0.78924773  0.63198761], [-0.33232649  0.26406    -0.00800512]
61, [ 0.33731268 -0.80029054  0.64627155], [-0.37339069  0.25780674 -0.015161  ]
65, [ 0.32445162 -0.80638023  0.62298083], [-0.31466897  0.30922291 -0.00505628]
66, [ 0.31888819 -0.80132501  0.60598856], [-0.28397545  0.3115874  -0.00327571]
67, [ 0.31403221 -0.7982179   0.59195307], [-0.2944031   0.32087712  0.02593005]
68, [ 0.31099133 -0.80026231  0.58780234], [-0.3064694   0.3273198   0.01196556]
69, [ 0.30824137 -0.80135643  0.58139272], [-0.29822673  0.3285286   0.01939551]
70, [ 0.30580969 -0.80615476  0.58192211], [-0.33124689  0.37006537  0.03288715]
71, [ 0.30639048 -0.81747519  0.59172828], [-0.36995429  0.41047792  0.05053159]
72, [ 0.30652635 -0.8222944   0.58892293], [-0.39028377  0.43735629  0.06343049]
73, [ 0.30669592 -0.83193226  0.59700437], [-0.47877772  0.38458964 -0.0388185 ]
74, [ 0.30231182 -0.81319485  0.54748016], [-0.41788426  0.31483844 -0.02660549]
75, [ 0.29953373 -0.81125558  0.53442981], [-0.38637166  0.29289307 -0.04026649]
76, [ 0.29714851 -0.81246926  0.52929745], [-0.39407966  0.29245324 -0.04157197]
77, [ 0.29513136 -0.81729583  0.53222344], [-0.40567978  0.31544889 -0.04270742]
78, [ 0.29222364 -0.82251233  0.53608517], [-0.39198528  0.34746981 -0.02118983]
79, [ 0.29026275 -0.83338456  0.54998041], [-0.4144227   0.3629688  -0.02198189]
80, [ 0.28642012 -0.83935838  0.55293459], [-0.42520807  0.35011797 -0.01415834]
81, [ 0.28032745 -0.83809185  0.5402398 ], [-0.37808746  0.40749453 -0.02695155]
82, [ 0.27605018 -0.84210689  0.53877548], [-0.38577257  0.43236435  0.01585598]
83, [ 0.2722792  -0.84382219  0.53379422], [-0.36978974  0.42282919  0.01005619]
84, [ 0.26944276 -0.84888453  0.53720832], [-0.37614456  0.43002439  0.01951745]
85, [ 0.26251632 -0.8436637   0.51829372], [-0.37741113  0.40750485  0.01373932]
86, [ 0.2583439  -0.84727024  0.5200589 ], [-0.39263885  0.40729763  0.02732034]
87, [ 0.24490779 -0.83114011  0.47666993], [-0.30710301  0.40229373  0.01338084]
88, [ 0.23475185 -0.82154493  0.44864033], [-0.28845244  0.38220192  0.00805231]
89, [ 0.22322128 -0.81189911  0.41908493], [-0.21658405  0.35468598  0.00620336]
91, [ 0.20795192 -0.80771816  0.39089932], [-0.16950378  0.44698038  0.02502797]
92, [ 0.19636299 -0.79876996  0.35943009], [-0.11722745  0.3622949  -0.0050588 ]
93, [ 0.18990097 -0.80001891  0.35559666], [-0.22332366  0.27491566  0.01751617]
94, [ 0.1795215  -0.79633919  0.3395541 ], [-0.24149427  0.21927716 -0.00571107]
95, [ 0.16763713 -0.79076886  0.31983009], [-0.24789268  0.27675779  0.01055406]
96, [ 0.16287332 -0.79689182  0.33212421], [-0.29765004  0.26299959  0.03115511]
97, [ 0.14585718 -0.78618962  0.30001202], [-0.24433571  0.23817296  0.00703361]
98, [ 0.13282172 -0.78035662  0.28249131], [-0.2591318   0.23412699  0.01231951]
99, [ 0.12030982 -0.7764921   0.26814122], [-0.22243577  0.20854316 -0.0016951 ]
100, [ 0.10899167 -0.77338586  0.25629832], [-0.22160408  0.16924675 -0.0140754 ]
101, [ 0.09335999 -0.76495559  0.22887011], [-0.1568021   0.10291374 -0.02869248]
102, [ 0.08798964 -0.76874964  0.23392312], [-0.17714024  0.0836584  -0.03525928]
103, [ 0.07990141 -0.77017533  0.22995039], [-0.19332287  0.08885638 -0.01797213]
104, [ 0.06894062 -0.76858698  0.21566743], [-0.1321105   0.04955994 -0.03932294]
105, [ 0.06661264 -0.77699117  0.22861089], [-0.19073367  0.03403129 -0.04351165]
106, [ 0.05990702 -0.78114474  0.22893403], [-0.22213383  0.0404899  -0.03369442]
107, [ 0.04799649 -0.780178    0.21532911], [-0.20400331  0.0219395  -0.05159844]
108, [ 0.04113988 -0.78481593  0.21875107], [-0.2561918   0.0823971  -0.03166943]
109, [ 0.03061185 -0.78556509  0.21328994], [-0.22754886  0.08794863 -0.02552802]
110, [ 0.02276093 -0.78892605  0.21603197], [-0.25772986  0.08755046 -0.01694803]
111, [ 0.01374866 -0.79119168  0.21643388], [-0.26584336  0.08573852 -0.01968746]
112, [ 0.00796702 -0.79581495  0.22348528], [-0.29440588  0.08708096 -0.00104084]
113, [-0.00263937 -0.79653106  0.21820387], [-0.25938099  0.02918769 -0.00302063]
114, [-0.00829936 -0.80136467  0.22300835], [-0.28987424  0.01617384 -0.01335148]
115, [-0.01765671 -0.80274579  0.21694305], [-0.27066276  0.00485609 -0.01199969]
116, [-0.01989551 -0.80856238  0.22659597], [-0.30552864  0.00437108 -0.00519726]
117, [-0.03441602 -0.80638755  0.20826235], [-0.29274795  0.02308135 -0.00638554]
118, [-0.03669699 -0.81268655  0.21754801], [-0.30051173  0.00810906 -0.00942886]
119, [-0.04850488 -0.81129381  0.20405698], [-0.30323641  0.02906381  0.00916053]
120, [-0.05870054 -0.81112568  0.19365745], [-0.27122966  0.02464085 -0.00509131]
121, [-0.0613606  -0.81636417  0.20061209], [-0.28192657  0.00883917 -0.01836628]
122, [-0.06578158 -0.82034762  0.20316868], [-0.32043953  0.0426514   0.00714293]
123, [-0.07446787 -0.82168586  0.19566287], [-0.29773823  0.02922333  0.00515347]
124, [-0.07884584 -0.82551888  0.19718963], [-0.3295594   0.04929043  0.02153321]
125, [-0.08939179 -0.82510236  0.18426069], [-0.28951753  0.03256819 -0.00306016]
126, [-0.09266731 -0.82903181  0.18608441], [-0.29904685  0.04905091  0.01002495]
127, [-0.10000721 -0.83054863  0.17973945], [-0.28256741  0.04773613  0.01623668]
128, [-0.11108788 -0.83120301  0.16324698], [ 0.77755678  0.84549859 -0.10640568]
129, [-0.11685619 -0.83320077  0.15991953], [-0.29404008  0.08908162  0.03642574]
