frame index, translation vector, rotation vector
1, [ 0.19326742 -0.54135902  0.60482579], [ 0.06178757  0.10368095 -0.01708992]
2, [ 0.19128859 -0.53274574  0.59748045], [0.08372687 0.13384723 0.00132461]
3, [ 0.19210113 -0.5363891   0.59977008], [ 1.54410896  0.38177621 -0.09874147]
4, [ 0.19229227 -0.53719225  0.60043261], [ 0.08572773  0.14127134 -0.0139435 ]
5, [ 0.19128974 -0.53456625  0.5972549 ], [ 0.08163563  0.13812757 -0.00890396]
6, [ 0.19227285 -0.53878023  0.60031529], [ 0.08189039  0.123498   -0.0135299 ]
7, [ 0.19179511 -0.53910773  0.598183  ], [ 1.54345091  0.39723814 -0.0834261 ]
8, [ 0.19147416 -0.54046129  0.59769183], [ 1.55184505  0.40447931 -0.07780095]
9, [ 0.18902854 -0.53502738  0.59158053], [ 1.52698492  0.3885504  -0.09350621]
10, [ 0.18938912 -0.53898818  0.59363263], [ 1.55182384  0.39181222 -0.08418189]
11, [ 0.18826791 -0.5368579   0.59070931], [ 1.52514823  0.39080085 -0.0919384 ]
12, [ 0.18911225 -0.54031191  0.59342378], [ 1.54382863  0.40049064 -0.07509994]
13, [ 0.19023107 -0.54214979  0.59530161], [ 1.55873875  0.39606641 -0.07133977]
14, [ 0.18974645 -0.53941048  0.59278225], [ 1.53413665  0.39361212 -0.07989937]
15, [ 0.1890559  -0.53727757  0.59135865], [ 0.08679037  0.1464378  -0.00305203]
16, [ 0.19095857 -0.54274483  0.59525406], [ 1.53860792  0.40093066 -0.07980145]
17, [ 0.19121814 -0.54276733  0.59419789], [ 1.52800924  0.39518281 -0.08379435]
18, [ 0.19109839 -0.54386001  0.59255057], [ 1.51606311  0.39001654 -0.08693217]
19, [ 0.18995204 -0.54336892  0.58797237], [ 1.51044728  0.39797797 -0.07159822]
20, [ 0.19040178 -0.54914623  0.58897906], [ 1.51239735  0.40800838 -0.06938107]
21, [ 0.18903841 -0.54785615  0.58250895], [ 1.47893089  0.39443733 -0.05498832]
22, [ 0.1890899  -0.54988874  0.58008021], [0.09137294 0.11633346 0.0031757 ]
23, [ 0.18842856 -0.54957056  0.57303039], [0.10992066 0.1146389  0.00469504]
24, [ 0.19096058 -0.55873408  0.57520526], [ 0.09838171  0.1053127  -0.00387516]
25, [ 0.16702109 -0.47931019  0.48688815], [ 0.37270411  0.05902994 -0.05283794]
26, [ 0.19392796 -0.56665266  0.56728307], [0.09366132 0.09673956 0.0009237 ]
27, [ 0.19657241 -0.57360905  0.56530207], [ 1.43550812  0.36922599 -0.04297197]
