frame index, translation vector, rotation vector
1, [-0.09061919  0.01813398 -0.07033833], [0.04851024 0.0584139  3.10977621]
2, [-0.09964988  0.01742343 -0.06109086], [0.04019264 0.0643367  3.13758325]
3, [-0.10819054  0.01727172 -0.05296459], [0.10256939 0.02126751 3.13365349]
4, [-0.09865518  0.02324238 -0.07614577], [-0.05520997 -0.01724459 -3.13995055]
5, [-0.13034907  0.01182266 -0.02330515], [-0.02591868  0.22057954  3.12577737]
6, [-0.1270519   0.01471414 -0.03618316], [0.09815134 0.06817317 3.13130307]
7, [-0.15694391  0.00454838  0.01034922], [ 1.48289079  0.77698571 -2.6186838 ]
8, [-0.17256017 -0.00106874  0.03324844], [ 1.50828246  0.8038419  -2.57692121]
9, [-0.11916303  0.01956085 -0.06685973], [ 1.46941482  0.64935202 -2.69028554]
10, [-0.12969261  0.01626581 -0.0510013 ], [-0.05378386 -0.01504595 -3.1276663 ]
11, [-0.1541658   0.0073828  -0.00794616], [-0.0163323   0.21473492  3.11169384]
12, [-0.12517388  0.02099474 -0.06565432], [2.69845508e-03 6.07731630e-02 3.12998807e+00]
13, [-0.16541103  0.00548013  0.00720767], [-0.0739115  -0.17138772 -3.12324906]
14, [-0.15001719  0.01356086 -0.02618724], [-0.10836146 -0.02321869 -3.13265716]
15, [-0.12167083  0.02561192 -0.08227512], [0.01494212 0.01062115 3.13457431]
16, [-0.1368676   0.02050994 -0.05847397], [0.06880204 0.01532859 3.12750824]
17, [-0.14348622  0.01831453 -0.04967591], [-0.05896024 -0.02048075 -3.12699269]
18, [-0.17900789  0.00405751  0.01486041], [-0.00628062  0.26112281  3.10783959]
19, [-0.1297088   0.02585659 -0.08529172], [0.0672456  0.07711611 3.12962468]
20, [-0.16382744  0.01218432 -0.02425813], [-0.05741713  0.23174905  3.11617347]
21, [-0.14979464  0.01955408 -0.05864315], [-0.06220167 -0.0771645  -3.13927531]
22, [-0.17836757  0.00802199 -0.00830458], [0.00598808 0.27088916 3.09737574]
23, [-0.1777416   0.01120522 -0.02127911], [ 1.39550576  0.78355487 -2.62749507]
24, [-0.13881949  0.02787838 -0.10037373], [-0.01932662 -0.02833167 -3.13056322]
25, [-0.14262769  0.02736708 -0.10052612], [-0.02059763 -0.02970471 -3.13036275]
26, [-0.1422364   0.02896631 -0.10991026], [-0.08859845  0.00960542 -3.11480742]
27, [-0.13642993  0.03209639 -0.1284048 ], [-0.03338524 -0.03454826 -3.14036788]
28, [-0.15592434  0.02478522 -0.09953118], [-0.16148483  0.04954264 -3.11499912]
29, [-0.16088832  0.02448445 -0.09968582], [-0.16339329  0.04825327 -3.11464889]
30, [-0.1727624   0.02106011 -0.0856052 ], [-1.48521160e-01 -2.90530954e-03 -3.11890189e+00]
31, [-0.08308492  0.06218027 -0.27653549], [ 0.41177379  0.06617881 -3.09623553]
32, [-0.16085668  0.030198   -0.12847675], [-0.04204904 -0.04287006 -3.13885657]
33, [-0.09623427  0.06169038 -0.27170277], [ 0.3758967   0.07563715 -3.09724727]
34, [-0.18863127  0.02346881 -0.09319971], [-0.09050227 -0.05242643 -3.11538034]
35, [-0.18474347  0.02701478 -0.10915929], [-1.08303307e-01  2.06756067e-04 -3.11105230e+00]
36, [-0.23527163  0.00615928 -0.01284221], [-0.06994291 -0.25506906 -3.11697084]
37, [-0.20322256  0.02454142 -0.09118629], [-0.11338426  0.00387532 -3.1276786 ]
38, [-0.21126567  0.02364743 -0.08350848], [-0.16605036 -0.00928061 -3.11455591]
39, [-0.21689303  0.02489038 -0.08266647], [ 1.48674879  0.59998288 -2.69909855]
40, [-0.26565876  0.00637728  0.00907455], [-0.13594298 -0.23872007 -3.11574597]
41, [-0.20499933  0.0371298  -0.12626296], [ 0.00634601 -0.11258931 -3.13174492]
42, [-0.21688091  0.03555992 -0.11111162], [-0.05341994 -0.0592721  -3.10632412]
43, [-0.22488781  0.03463395 -0.10338773], [-0.11027702 -0.06757328 -3.0926895 ]
44, [-0.22653179  0.03756601 -0.11095797], [-0.11096258 -0.1272209  -3.10415224]
