frame index, translation vector, rotation vector
1, [ 0.19147732 -0.47353632  0.59858214], [ 0.19455815  0.30963282 -0.03710263]
2, [ 0.19282869 -0.47707902  0.60195251], [ 0.19638786  0.3248432  -0.02952406]
3, [ 0.19189481 -0.47411947  0.59921521], [ 0.20140823  0.33403709 -0.02324845]
4, [ 0.19263213 -0.47794635  0.60140857], [ 0.19282511  0.33645451 -0.01672207]
5, [ 0.19204038 -0.47573337  0.59880003], [ 0.18844004  0.34005237 -0.02239147]
6, [ 0.1928069  -0.47949763  0.60126899], [ 0.16231613  0.32747229 -0.0279652 ]
7, [ 0.19049309 -0.47358737  0.59449493], [ 0.19492744  0.33423266 -0.02932121]
8, [ 0.19025165 -0.4752709   0.5944602 ], [ 0.18224981  0.34136301 -0.02777883]
9, [ 0.1903004  -0.47934673  0.59641741], [ 0.18276119  0.33609405 -0.02131156]
10, [ 0.18857299 -0.47591814  0.59213041], [ 0.20174931  0.32330438 -0.02927246]
11, [ 0.18918125 -0.48004472  0.59462093], [ 0.17217234  0.32368517 -0.02152699]
12, [ 0.18832294 -0.47755789  0.59206331], [ 0.18897678  0.33072241 -0.02758057]
13, [ 0.18932192 -0.47897459  0.59356132], [ 0.18349711  0.31553665 -0.02290547]
14, [ 0.19062628 -0.48264447  0.5964675 ], [ 0.16543832  0.32713928 -0.01524765]
15, [ 0.19044639 -0.48188938  0.59599343], [ 0.17645691  0.31926044 -0.01639816]
16, [ 0.19048386 -0.48006411  0.59414545], [ 0.18089997  0.33392751 -0.02154036]
17, [ 0.19163367 -0.4829282   0.5954217 ], [ 0.18261196  0.32862767 -0.01603389]
18, [ 0.19201593 -0.487191    0.59646506], [ 0.17537568  0.31797123 -0.02160695]
19, [ 0.18907959 -0.47989562  0.58629815], [ 0.22426194  0.33068011 -0.02904669]
20, [ 0.18933705 -0.48455471  0.58623931], [ 0.20212874  0.31952894 -0.02286797]
21, [ 0.19085254 -0.49393614  0.58932461], [ 0.1920912   0.32246163 -0.02005956]
22, [ 0.18950816 -0.49136761  0.58162879], [ 0.1987636   0.34265105 -0.01942792]
23, [ 0.18831731 -0.48876139  0.57282344], [ 0.22497968  0.33031268 -0.01698427]
24, [ 0.19090865 -0.49857991  0.57519229], [ 0.21105408  0.33012335 -0.01537786]
25, [ 0.19140765 -0.49983978  0.56867296], [ 0.21639259  0.32949486 -0.0050431 ]
26, [ 0.1941551  -0.50778232  0.5681166 ], [ 0.19828202  0.30177414 -0.01850598]
27, [ 0.19537813 -0.50999925  0.56251421], [ 0.22045099  0.30298358 -0.00874336]
28, [ 0.19770036 -0.51297297  0.55750333], [ 0.21157559  0.31648393 -0.00811723]
29, [ 0.20088365 -0.51913608  0.5549217 ], [ 0.19604432  0.31691541 -0.01466789]
30, [ 0.20044862 -0.51020151  0.53719037], [ 0.27531685  0.30524348 -0.01546647]
31, [ 0.20752958 -0.52984864  0.54654714], [0.2244677  0.35230084 0.00376882]
32, [ 0.21141208 -0.53575469  0.54276505], [ 0.18772441  0.31473188 -0.01258824]
33, [ 0.21818977 -0.54912367  0.54735547], [ 0.15801273  0.25429015 -0.02278423]
34, [ 0.21939938 -0.5433754   0.53257026], [ 0.18182825  0.27266816 -0.0200976 ]
35, [ 0.21972455 -0.54049492  0.51886244], [ 0.26373597  0.242365   -0.0376991 ]
36, [ 0.22007304 -0.54129295  0.50795413], [ 0.27880298  0.18560871 -0.05276907]
37, [ 0.22307491 -0.55409367  0.51018293], [ 0.24876125  0.25510753 -0.02894299]
38, [ 0.22636192 -0.56073883  0.5070583 ], [0.20597378 0.27189252 0.00086053]
39, [ 0.22893813 -0.55760588  0.49247232], [ 0.24183353  0.25463195 -0.00306432]
41, [ 0.23844769 -0.57321699  0.49092572], [0.1819456  0.26867361 0.00873949]
