frame index, translation vector, rotation vector
1, [ 0.23724236 -0.56796116  0.57326751], [1.50074214 0.37687738 0.02110759]
2, [ 0.2375306  -0.56898867  0.57491457], [ 0.04369075 -0.00418799 -0.00847166]
3, [ 0.23691438 -0.56676025  0.57248727], [ 0.05588632 -0.00856809 -0.00517926]
4, [ 0.23599226 -0.56373586  0.56815723], [ 0.04679158 -0.00331236  0.00016561]
5, [ 0.23662228 -0.5673848   0.57124236], [ 0.0392189  -0.00791995 -0.00322572]
6, [ 0.23649393 -0.56806971  0.57130347], [ 0.03742808 -0.00794028 -0.00251532]
7, [ 0.23622764 -0.56864487  0.57031838], [ 0.03644834 -0.00862682 -0.00199747]
8, [ 0.23511692 -0.56794008  0.56766135], [ 0.03875871 -0.02114637  0.00260032]
9, [ 0.23489127 -0.56927173  0.56806032], [ 0.05249029 -0.01812195 -0.00830337]
10, [ 0.23410958 -0.57012488  0.5676214 ], [ 0.03538093 -0.01629334 -0.0054544 ]
11, [ 0.23386476 -0.57063217  0.56687353], [ 0.03492882 -0.01714428 -0.00533656]
12, [ 0.2333555  -0.56811891  0.56396861], [ 0.05668292 -0.00981058 -0.01335193]
13, [ 0.23412232 -0.57020193  0.56599225], [ 0.04348083 -0.01078455 -0.00659402]
14, [ 0.23448503 -0.56998539  0.56580124], [ 0.0435626  -0.01102475 -0.00697688]
15, [ 0.23576594 -0.57570505  0.57156537], [ 0.02287747 -0.01581596 -0.00318191]
16, [ 0.23500407 -0.56996429  0.56504476], [ 0.0509705  -0.0049836  -0.00824881]
17, [ 0.23590319 -0.57343417  0.56709922], [ 0.0427983  -0.01576292 -0.00201726]
18, [ 0.23588979 -0.57505672  0.56565376], [ 0.03915328 -0.01754878 -0.00124129]
19, [ 0.23576559 -0.5782414   0.56534676], [ 0.0407248  -0.02297641 -0.0103893 ]
20, [ 0.23580212 -0.58238105  0.56467163], [ 0.03207221 -0.01959527 -0.00326707]
21, [ 0.2359053  -0.5866119   0.56366342], [ 0.04642716 -0.03372843 -0.0041179 ]
22, [ 0.23579748 -0.58836257  0.55957544], [ 0.04183967 -0.0264861   0.00670384]
23, [ 0.23631549 -0.59047551  0.55529522], [ 0.05258022 -0.01634222  0.00579658]
24, [ 0.23681102 -0.59280117  0.54979586], [ 0.09087365 -0.03302842  0.00405408]
25, [ 0.23697893 -0.58938098  0.53837654], [ 0.09829826 -0.02638558  0.01270885]
26, [ 0.24004298 -0.60031179  0.54204712], [ 0.04202975 -0.0204287   0.01670521]
27, [ 0.24181671 -0.60330956  0.53696651], [ 0.05095425 -0.01092247  0.01503423]
28, [ 0.2453486  -0.61154615  0.537677  ], [ 0.05366321 -0.00804214  0.01523545]
