frame index, translation vector, rotation vector
12, [ 0.22470611  0.0394086  -0.16823373], [-0.03225666 -0.08112225 -0.00476919]
13, [ 0.20932714  0.03552772 -0.14900097], [-0.06395729 -0.08611413 -0.01006856]
14, [ 0.1445131   0.01741954 -0.06107151], [-0.04909204 -0.05260744 -0.03910395]
15, [ 0.14215874  0.01785811 -0.06115434], [-0.0489899  -0.05156292 -0.03878856]
16, [ 0.11168525  0.00923819 -0.02299809], [-0.13739797 -0.06152108 -0.03403197]
17, [ 0.21339254  0.04151494 -0.16862748], [-0.03173233 -0.07641079 -0.00341108]
18, [ 0.22328893  0.04566361 -0.1871387 ], [ 0.3938087  -1.14704704  0.04954556]
20, [ 0.21922876  0.04604895 -0.19206069], [ 0.41093205 -1.17985213  0.02839024]
21, [ 0.06865408 -0.00034696  0.01937484], [-0.1650449  -0.00726951 -0.03287075]
22, [ 0.19699593  0.04138868 -0.17147343], [-0.0169629   0.00116286  0.02356539]
23, [ 0.01919747 -0.01281364  0.07740459], [-0.26116666 -0.03154806 -0.03698886]
24, [ 0.18878873  0.04178766 -0.17230448], [-0.01817506  0.00360002  0.02391323]
30, [ 0.16843265  0.04209974 -0.18950314], [ 0.4140407  -1.18950852  0.03745096]
31, [ 0.1545639   0.03992372 -0.17633979], [-0.01897778  0.01573886  0.0273065 ]
33, [ 0.15697034  0.04574428 -0.1969971 ], [-0.0822286  -0.02282742  0.01548478]
34, [ 0.14878605  0.04507351 -0.19270345], [0.00989125 0.03095692 0.03335328]
35, [ 0.03422089  0.00968912 -0.0268115 ], [-0.20896292 -0.03371265 -0.02719252]
36, [ 0.01499636  0.00580223 -0.00496593], [-0.23284816 -0.03081622 -0.02885254]
37, [ 0.02460564  0.01117943 -0.02619312], [-0.20930931 -0.03003642 -0.02581648]
38, [ 0.03154178  0.01612405 -0.04378656], [-0.21744404 -0.05660521 -0.02028696]
39, [-2.63532504e-02 -4.70530985e-05  3.70875377e-02], [-0.30512244 -0.03619491 -0.05348365]
40, [ 0.02525359  0.02074522 -0.04883146], [-0.21311786 -0.01787202 -0.03404879]
41, [ 0.02718242  0.02480428 -0.06014802], [-0.19067347 -0.02324862 -0.00311047]
42, [ 0.01379847  0.0235577  -0.04754835], [-0.21207608 -0.01283472 -0.03185718]
46, [ 0.10392686  0.06949652 -0.22587162], [-0.00154591  0.04958469  0.0777355 ]
47, [-0.03441012  0.02173256 -0.01137794], [-0.24024792 -0.00904951 -0.00317928]
48, [-0.01238913  0.03261915 -0.05526337], [-0.19227533 -0.0087268   0.00223881]
49, [-0.00458293  0.03956224 -0.07629059], [-0.16636041 -0.00619738  0.00582294]
50, [-0.01011491  0.04040969 -0.07589425], [-0.16547105 -0.00359409  0.00699603]
51, [-0.03350211  0.03589164 -0.04752705], [-0.22728716 -0.03121433  0.00663593]
52, [ 0.03774787  0.06796212 -0.17669049], [-0.11149296 -0.0538034  -0.00064431]
53, [ 0.06305841  0.08355067 -0.22985635], [-0.12275644 -0.08393645 -0.00669569]
54, [-0.03795495  0.04858662 -0.06897958], [-2.30260364e-01 -1.66641834e-02  7.80172450e-07]
55, [ 0.01279674  0.07397228 -0.16586307], [-0.11434872 -0.01355604  0.01396996]
56, [ 0.02444028  0.08448108 -0.19671185], [-0.15641973 -0.07352361 -0.00785949]
57, [ 0.00729718  0.08329375 -0.17862899], [-0.08637656  0.02677785  0.0316608 ]
58, [-0.06602408  0.05750271 -0.0624115 ], [-0.22912012 -0.00516092  0.00481677]
59, [-0.08849351  0.05284106 -0.03384449], [-0.25146279  0.02521005  0.01636751]
60, [-0.01363013  0.09009271 -0.17505498], [-0.12109882 -0.00235846  0.03679295]
61, [-0.07184389  0.0691305  -0.08218786], [-2.04491519e-01  1.86734307e-04  9.66991756e-03]
62, [-0.05670492  0.08029223 -0.11925805], [-0.11499608  0.02917328  0.04260348]
63, [-0.09468874  0.0679357  -0.0622569 ], [ 0.59564257 -1.01414376  0.0910574 ]
64, [-0.10233867  0.06859203 -0.05669826], [ 0.59245543 -1.04321824  0.09560635]
65, [-0.09484003  0.07458092 -0.07443573], [-0.17465708  0.00066695  0.02518627]
66, [-0.05421431  0.09793826 -0.15834764], [ 0.47837657 -1.0542335   0.06432498]
67, [-0.11841316  0.07373938 -0.0526605 ], [ 0.60039557 -1.03593342  0.09539601]
