frame index, translation vector, rotation vector
1, [0 0 0], [0 0 0]
2, [-0.00667534  0.02463105 -0.0258966 ], [ 1.48998014  0.46880262 -0.00408017]
3, [-0.00613048  0.02117657 -0.02138538], [ 0.05134978  0.02644096 -0.00629115]
4, [-0.00516043  0.01509974 -0.01700195], [0.0369516  0.02585144 0.00211099]
5, [-0.0034065   0.0095174  -0.01302515], [ 0.02396752  0.02972232 -0.00027378]
6, [-0.00708335  0.01976708 -0.02553115], [0.03297584 0.02221528 0.00701313]
7, [-0.00552847  0.01135287 -0.01977569], [0.02565315 0.01736266 0.00409988]
8, [-0.00863564  0.01512641 -0.02788673], [0.02906226 0.02081606 0.0086626 ]
9, [-0.01141012  0.01854821 -0.03428192], [4.98645438e-02 2.71182481e-02 2.33546862e-05]
10, [-0.01354878  0.01960779 -0.03898341], [ 0.0526852   0.01951077 -0.00612893]
11, [-0.01125745  0.0089402  -0.02979921], [ 0.0333801   0.03096418 -0.0005764 ]
12, [-0.01046377  0.00614783 -0.02762139], [ 3.05250739e-02  1.54511213e-02 -1.53205081e-05]
13, [-0.00973038  0.00677311 -0.02818258], [ 0.03072476  0.01508122 -0.00047464]
14, [-0.01167362  0.01500635 -0.03626757], [0.04588346 0.0259399  0.00135577]
15, [-0.00842202  0.00443094 -0.02672833], [0.03554772 0.02711531 0.00410134]
16, [-0.00859844  0.00779509 -0.03149739], [ 0.03868975  0.02018284 -0.00243609]
17, [-0.00789136  0.00706427 -0.03343961], [ 0.03747139  0.01896104 -0.00259277]
18, [-0.00884076  0.0050957  -0.03806544], [0.04282747 0.01853881 0.00683359]
19, [-0.00758555 -0.00548202 -0.03613205], [0.01695303 0.01414139 0.00707747]
20, [-0.01286727  0.00073379 -0.0533866 ], [0.03836476 0.01800352 0.01354917]
21, [-0.0107889  -0.01189456 -0.05124992], [0.02548584 0.01069005 0.01189668]
22, [-0.01151592 -0.01561783 -0.06169677], [0.0464913  0.02537785 0.00816465]
23, [-0.014495   -0.00891249 -0.08423725], [0.09568869 0.03139951 0.00899479]
24, [-0.00595763 -0.03578402 -0.07039958], [0.0544837  0.00090965 0.01214995]
25, [-0.00717711 -0.03264038 -0.09297491], [0.05678347 0.00959726 0.02479526]
26, [ 0.00189405 -0.05820605 -0.0824354 ], [ 0.03349027 -0.00757591  0.02516405]
27, [ 0.0025208  -0.05639765 -0.10378171], [0.06090302 0.0139946  0.0136942 ]
28, [ 0.00562672 -0.05787816 -0.12169733], [0.09127796 0.00056536 0.02119366]
29, [ 0.01318393 -0.07001626 -0.12747189], [0.0588483  0.00119362 0.00083556]
30, [ 0.02148854 -0.08638248 -0.13044741], [ 0.06071371 -0.00483604  0.01005581]
31, [ 0.02569625 -0.08833633 -0.15498722], [1.26152079 0.39949339 0.01367846]
32, [ 0.03587823 -0.10537206 -0.15781018], [1.28271803 0.39269454 0.02809295]
33, [ 0.05993215 -0.15951844 -0.10853982], [1.32985657 0.40035354 0.01874516]
34, [ 0.05391263 -0.12544478 -0.17416686], [ 0.04076709 -0.01099077  0.03235559]
35, [ 0.06253567 -0.14495147 -0.17416754], [ 0.07225246 -0.07726349  0.00202686]
36, [ 0.06819952 -0.16325927 -0.17915412], [ 0.05914187 -0.07396433 -0.00781522]
37, [ 0.0699504  -0.16952304 -0.19782979], [ 0.04312658 -0.05077987  0.00632271]
38, [ 0.07965799 -0.18639024 -0.19993149], [-0.00401726  0.01211329  0.04257776]
39, [ 0.08422516 -0.17898293 -0.23889324], [1.11767567 0.34815815 0.05981658]
40, [ 0.09694882 -0.20039191 -0.22872816], [ 0.05327723 -0.03711972  0.04197857]
41, [ 0.10702972 -0.21507511 -0.22985242], [-0.01143015  0.02623506  0.04197715]
42, [ 0.12910387 -0.2618932  -0.17549807], [-0.07605574  0.00327925  0.05723257]
43, [ 0.13776481 -0.25206386 -0.20565559], [-0.07957993  0.06976838  0.04031667]
44, [ 0.14115897 -0.23813076 -0.247426  ], [0.01059354 0.07011696 0.04210967]
45, [ 0.14603574 -0.25444116 -0.24579962], [-0.00160544  0.034171    0.0391573 ]
46, [ 0.14884929 -0.26780832 -0.24408836], [-0.01977774  0.08199924  0.05540082]
47, [ 0.15087749 -0.27937533 -0.24273341], [-0.03039603  0.0757064   0.06074941]
