frame index, translation vector, rotation vector
1, [ 1.36306193  0.51034547 -0.0289255 ], [-0.02091746 -0.0614834  -0.11112637]
2, [ 1.36306193  0.51034547 -0.0289255 ], [-0.02091746 -0.0614834  -0.11112637]
3, [ 1.36306193  0.51034547 -0.0289255 ], [-0.02091746 -0.0614834  -0.11112637]
4, [ 1.36306193  0.51034547 -0.0289255 ], [-0.02091746 -0.0614834  -0.11112637]
5, [ 1.36306193  0.51034547 -0.0289255 ], [-0.02091746 -0.0614834  -0.11112637]
6, [ 1.36306193  0.51034547 -0.0289255 ], [-0.02091746 -0.0614834  -0.11112637]
7, [ 1.36306193  0.51034547 -0.0289255 ], [-0.02091746 -0.0614834  -0.11112637]
8, [ 1.36306193  0.51034547 -0.0289255 ], [-0.02091746 -0.0614834  -0.11112637]
9, [ 1.36306193  0.51034547 -0.0289255 ], [-0.02091746 -0.0614834  -0.11112637]
10, [ 1.36306193  0.51034547 -0.0289255 ], [-0.02091746 -0.0614834  -0.11112637]
11, [ 1.36306193  0.51034547 -0.0289255 ], [-0.02091746 -0.0614834  -0.11112637]
12, [ 1.36306193  0.51034547 -0.0289255 ], [-0.02091746 -0.0614834  -0.11112637]
13, [ 1.36306193  0.51034547 -0.0289255 ], [-0.02091746 -0.0614834  -0.11112637]
14, [ 1.36306193  0.51034547 -0.0289255 ], [-0.02091746 -0.0614834  -0.11112637]
15, [ 1.36306193  0.51034547 -0.0289255 ], [-0.02091746 -0.0614834  -0.11112637]
16, [ 1.36306193  0.51034547 -0.0289255 ], [-0.02091746 -0.0614834  -0.11112637]
17, [1.34635766 0.50700369 0.01220249], [ 0.04357616  0.03542851 -0.08447705]
18, [ 1.36306193  0.51034547 -0.0289255 ], [-0.02091746 -0.0614834  -0.11112637]
19, [ 1.36306193  0.51034547 -0.0289255 ], [-0.02091746 -0.0614834  -0.11112637]
20, [ 1.36306193  0.51034547 -0.0289255 ], [-0.02091746 -0.0614834  -0.11112637]
21, [ 1.36306193  0.51034547 -0.0289255 ], [-0.02091746 -0.0614834  -0.11112637]
22, [ 1.36306193  0.51034547 -0.0289255 ], [-0.02091746 -0.0614834  -0.11112637]
23, [ 1.36306193  0.51034547 -0.0289255 ], [-0.02091746 -0.0614834  -0.11112637]
24, [ 1.36306193  0.51034547 -0.0289255 ], [-0.02091746 -0.0614834  -0.11112637]
25, [ 1.36306193  0.51034547 -0.0289255 ], [-0.02091746 -0.0614834  -0.11112637]
26, [ 1.36306193  0.51034547 -0.0289255 ], [-0.02091746 -0.0614834  -0.11112637]
27, [ 1.36306193  0.51034547 -0.0289255 ], [-0.02091746 -0.0614834  -0.11112637]
28, [ 1.36306193  0.51034547 -0.0289255 ], [-0.02091746 -0.0614834  -0.11112637]
29, [ 1.36306193  0.51034547 -0.0289255 ], [-0.02091746 -0.0614834  -0.11112637]
30, [1.34635766 0.50700369 0.01220249], [ 0.04357616  0.03542851 -0.08447705]
31, [ 1.35906293  0.50976628 -0.01961357], [ 0.1667321  -0.72654179 -0.09627319]
32, [ 1.35906293  0.50976628 -0.01961357], [ 0.1667321  -0.72654179 -0.09627319]
33, [1.34635766 0.50700369 0.01220249], [ 0.04357616  0.03542851 -0.08447705]
34, [1.34635766 0.50700369 0.01220249], [ 0.04357616  0.03542851 -0.08447705]
35, [1.34635766 0.50700369 0.01220249], [ 0.04357616  0.03542851 -0.08447705]
36, [1.34635766 0.50700369 0.01220249], [ 0.04357616  0.03542851 -0.08447705]
37, [1.34635766 0.50700369 0.01220249], [ 0.04357616  0.03542851 -0.08447705]
38, [1.34635766 0.50700369 0.01220249], [ 0.04357616  0.03542851 -0.08447705]
39, [1.34635766 0.50700369 0.01220249], [ 0.04357616  0.03542851 -0.08447705]
40, [1.34635766 0.50700369 0.01220249], [ 0.04357616  0.03542851 -0.08447705]
41, [1.34635766 0.50700369 0.01220249], [ 0.04357616  0.03542851 -0.08447705]
42, [1.34635766 0.50700369 0.01220249], [ 0.04357616  0.03542851 -0.08447705]
43, [1.34635766 0.50700369 0.01220249], [ 0.04357616  0.03542851 -0.08447705]
44, [1.34635766 0.50700369 0.01220249], [ 0.04357616  0.03542851 -0.08447705]
45, [1.34635766 0.50700369 0.01220249], [ 0.04357616  0.03542851 -0.08447705]
46, [1.34635766 0.50700369 0.01220249], [ 0.04357616  0.03542851 -0.08447705]
47, [1.34635766 0.50700369 0.01220249], [ 0.04357616  0.03542851 -0.08447705]
48, [1.34635766 0.50700369 0.01220249], [ 0.04357616  0.03542851 -0.08447705]
49, [1.34635766 0.50700369 0.01220249], [ 0.04357616  0.03542851 -0.08447705]
50, [1.34635766 0.50700369 0.01220249], [ 0.04357616  0.03542851 -0.08447705]
51, [1.34635766 0.50700369 0.01220249], [ 0.04357616  0.03542851 -0.08447705]
52, [1.34635766 0.50700369 0.01220249], [ 0.04357616  0.03542851 -0.08447705]
53, [1.34635766 0.50700369 0.01220249], [ 0.04357616  0.03542851 -0.08447705]
54, [1.34635766 0.50700369 0.01220249], [ 0.04357616  0.03542851 -0.08447705]
55, [1.34635766 0.50700369 0.01220249], [ 0.04357616  0.03542851 -0.08447705]
56, [ 1.37753244  0.51366169 -0.06418958], [ 0.23926625 -0.65867456 -0.09037921]
57, [ 1.37753244  0.51366169 -0.06418958], [ 0.23926625 -0.65867456 -0.09037921]
58, [ 1.37753244  0.51366169 -0.06418958], [ 0.23926625 -0.65867456 -0.09037921]
59, [ 1.35379768  0.50831647 -0.00612771], [ 0.07212771 -0.00444786 -0.07419015]
60, [ 1.35379768  0.50831647 -0.00612771], [ 0.07212771 -0.00444786 -0.07419015]
61, [ 1.35932142  0.5098893  -0.02093927], [ 0.13083074 -0.75669793 -0.11217322]
62, [ 1.35932142  0.5098893  -0.02093927], [ 0.13083074 -0.75669793 -0.11217322]
63, [ 1.35932142  0.5098893  -0.02093927], [ 0.13083074 -0.75669793 -0.11217322]
64, [ 1.35932142  0.5098893  -0.02093927], [ 0.13083074 -0.75669793 -0.11217322]
65, [ 1.35932142  0.5098893  -0.02093927], [ 0.13083074 -0.75669793 -0.11217322]
66, [ 1.35932142  0.5098893  -0.02093927], [ 0.13083074 -0.75669793 -0.11217322]
67, [ 1.35342531  0.50827549 -0.00585858], [ 0.10882776  0.02772997 -0.07254058]
68, [ 1.35932142  0.5098893  -0.02093927], [ 0.13083074 -0.75669793 -0.11217322]
69, [ 1.35932142  0.5098893  -0.02093927], [ 0.13083074 -0.75669793 -0.11217322]
70, [ 1.35932142  0.5098893  -0.02093927], [ 0.13083074 -0.75669793 -0.11217322]
71, [ 1.35932142  0.5098893  -0.02093927], [ 0.13083074 -0.75669793 -0.11217322]
72, [ 1.35932142  0.5098893  -0.02093927], [ 0.13083074 -0.75669793 -0.11217322]
73, [ 1.35932142  0.5098893  -0.02093927], [ 0.13083074 -0.75669793 -0.11217322]
74, [ 1.35932142  0.5098893  -0.02093927], [ 0.13083074 -0.75669793 -0.11217322]
75, [ 1.35932142  0.5098893  -0.02093927], [ 0.13083074 -0.75669793 -0.11217322]
76, [ 1.35932142  0.5098893  -0.02093927], [ 0.13083074 -0.75669793 -0.11217322]
77, [ 1.35932142  0.5098893  -0.02093927], [ 0.13083074 -0.75669793 -0.11217322]
78, [ 1.35932142  0.5098893  -0.02093927], [ 0.13083074 -0.75669793 -0.11217322]
79, [ 1.35150145  0.50798047 -0.00245141], [ 0.13249984 -0.82316736 -0.12887499]
80, [ 1.35932142  0.5098893  -0.02093927], [ 0.13083074 -0.75669793 -0.11217322]
81, [ 1.35932142  0.5098893  -0.02093927], [ 0.13083074 -0.75669793 -0.11217322]
82, [ 1.35932142  0.5098893  -0.02093927], [ 0.13083074 -0.75669793 -0.11217322]
83, [ 1.35932142  0.5098893  -0.02093927], [ 0.13083074 -0.75669793 -0.11217322]
84, [ 1.35932142  0.5098893  -0.02093927], [ 0.13083074 -0.75669793 -0.11217322]
85, [ 1.35932142  0.5098893  -0.02093927], [ 0.13083074 -0.75669793 -0.11217322]
86, [ 1.35302579  0.50822228 -0.00493439], [ 0.03624933 -0.03622073 -0.07562114]
87, [ 1.35302579  0.50822228 -0.00493439], [ 0.03624933 -0.03622073 -0.07562114]
88, [ 1.35302579  0.50822228 -0.00493439], [ 0.03624933 -0.03622073 -0.07562114]
89, [ 1.35302579  0.50822228 -0.00493439], [ 0.03624933 -0.03622073 -0.07562114]
90, [ 1.35302579  0.50822228 -0.00493439], [ 0.03624933 -0.03622073 -0.07562114]
91, [1.34635766 0.50700369 0.01220249], [ 0.04357616  0.03542851 -0.08447705]
92, [1.34635766 0.50700369 0.01220249], [ 0.04357616  0.03542851 -0.08447705]
93, [1.34635766 0.50700369 0.01220249], [ 0.04357616  0.03542851 -0.08447705]
