frame index, translation vector, rotation vector
1, [-0.03941705  1.10035961  0.04411996], [ 0.087418   -0.0162889   0.01473436]
2, [-0.02831995  1.09243415  0.05639176], [ 0.06563894 -0.01094875  0.01694458]
3, [-0.02208921  1.08837354  0.06316594], [ 0.08075931 -0.03511081 -0.01299551]
4, [-0.03103298  1.09412923  0.05326529], [ 0.0440189  -0.00887965  0.03476596]
5, [-0.03103298  1.09412923  0.05326529], [ 0.0440189  -0.00887965  0.03476596]
6, [-0.02831995  1.09243415  0.05639176], [ 0.06563894 -0.01094875  0.01694458]
7, [-0.03941705  1.10035961  0.04411996], [ 0.087418   -0.0162889   0.01473436]
8, [-0.03941705  1.10035961  0.04411996], [ 0.087418   -0.0162889   0.01473436]
9, [-0.04261504  1.10240731  0.04044158], [ 0.06557041 -0.01353288  0.03296569]
10, [-0.04261504  1.10240731  0.04044158], [ 0.06557041 -0.01353288  0.03296569]
11, [-0.03137496  1.09391685  0.05362079], [ 0.04303286 -0.00877345  0.03524748]
12, [-0.02884589  1.0917412   0.05646931], [ 0.06377162 -0.00881135 -0.01409053]
13, [-0.02884589  1.0917412   0.05646931], [ 0.06377162 -0.00881135 -0.01409053]
14, [-0.04261504  1.10240731  0.04044158], [ 0.06557041 -0.01353288  0.03296569]
16, [-0.04261504  1.10240731  0.04044158], [ 0.06557041 -0.01353288  0.03296569]
17, [-0.04261504  1.10240731  0.04044158], [ 0.06557041 -0.01353288  0.03296569]
18, [-0.04548875  1.10429069  0.03753659], [ 0.06775282  0.01286975 -0.0175537 ]
19, [-0.02590583  1.08980793  0.05945538], [ 0.05775949 -0.02997173 -0.02629629]
20, [-0.04261504  1.10240731  0.04044158], [ 0.06557041 -0.01353288  0.03296569]
21, [-0.04261504  1.10240731  0.04044158], [ 0.06557041 -0.01353288  0.03296569]
22, [-0.02884589  1.0917412   0.05646931], [ 0.06377162 -0.00881135 -0.01409053]
23, [-0.03103298  1.09412923  0.05326529], [ 0.0440189  -0.00887965  0.03476596]
24, [-0.02867372  1.0922317   0.05673168], [ 0.06463058 -0.01084292  0.0174301 ]
25, [-0.02867372  1.0922317   0.05673168], [ 0.06463058 -0.01084292  0.0174301 ]
26, [-0.03941705  1.10035961  0.04411996], [ 0.087418   -0.0162889   0.01473436]
27, [-0.03941705  1.10035961  0.04411996], [ 0.087418   -0.0162889   0.01473436]
28, [-0.04548875  1.10429069  0.03753659], [ 0.06775282  0.01286975 -0.0175537 ]
29, [-0.03694882  1.09768277  0.04724853], [ 0.08204607 -0.03906736  0.00174588]
30, [-0.04261504  1.10240731  0.04044158], [ 0.06557041 -0.01353288  0.03296569]
31, [-0.03941705  1.10035961  0.04411996], [ 0.087418   -0.0162889   0.01473436]
32, [-0.03246626  1.09577651  0.05170863], [ 0.10201382 -0.04149166 -0.01551239]
33, [-0.03246626  1.09577651  0.05170863], [ 0.10201382 -0.04149166 -0.01551239]
34, [-0.04261504  1.10240731  0.04044158], [ 0.06557041 -0.01353288  0.03296569]
35, [-0.03658411  1.09850537  0.04698059], [ 0.08105654 -0.03795224  0.00249775]
36, [-0.03658411  1.09850537  0.04698059], [ 0.08105654 -0.03795224  0.00249775]
39, [-0.01741877  1.08418988  0.06918332], [ 0.04342644 -0.00616     0.01939786]
40, [-0.03137496  1.09391685  0.05362079], [ 0.04303286 -0.00877345  0.03524748]
41, [-0.02867372  1.0922317   0.05673168], [ 0.06463058 -0.01084292  0.0174301 ]
42, [-0.02884589  1.0917412   0.05646931], [ 0.06377162 -0.00881135 -0.01409053]
43, [-0.0348424   1.09722557  0.04896547], [ 0.07661106 -0.03387474 -0.06019544]
47, [-0.03137496  1.09391685  0.05362079], [ 0.04303286 -0.00877345  0.03524748]
48, [-0.02867372  1.0922317   0.05673168], [ 0.06463058 -0.01084292  0.0174301 ]
49, [-0.03941705  1.10035961  0.04411996], [ 0.087418   -0.0162889   0.01473436]
50, [-0.02867372  1.0922317   0.05673168], [ 0.06463058 -0.01084292  0.0174301 ]
51, [-0.02867372  1.0922317   0.05673168], [ 0.06463058 -0.01084292  0.0174301 ]
52, [-0.02867372  1.0922317   0.05673168], [ 0.06463058 -0.01084292  0.0174301 ]
53, [-0.02867372  1.0922317   0.05673168], [ 0.06463058 -0.01084292  0.0174301 ]
54, [-0.03137496  1.09391685  0.05362079], [ 0.04303286 -0.00877345  0.03524748]
55, [-0.02607282  1.09054592  0.0593312 ], [ 0.05897365 -0.03208208  0.00513839]
56, [-0.02867372  1.0922317   0.05673168], [ 0.06463058 -0.01084292  0.0174301 ]
59, [-0.04261504  1.10240731  0.04044158], [ 0.06557041 -0.01353288  0.03296569]
61, [-0.03505765  1.09683211  0.04905573], [ 0.10912066 -0.02105237 -0.00391202]
62, [-0.03505765  1.09683211  0.04905573], [ 0.10912066 -0.02105237 -0.00391202]
63, [-0.03894451  1.09938689  0.04459228], [ 0.08746499 -0.01746136  0.01437606]
64, [-0.04460333  1.10411101  0.03778931], [ 0.06662712  0.01290669 -0.01706332]
65, [-0.0474473   1.10597102  0.03491826], [ 0.07228855  0.03569815 -0.00420133]
66, [-0.03076566  1.09338783  0.05390231], [ 0.06845627  0.01304622 -0.00118402]
67, [-0.03076566  1.09338783  0.05390231], [ 0.06845627  0.01304622 -0.00118402]
68, [-0.03941705  1.10035961  0.04411996], [ 0.087418   -0.0162889   0.01473436]
69, [-0.03505765  1.09683211  0.04905573], [ 0.10912066 -0.02105237 -0.00391202]
70, [-0.03941705  1.10035961  0.04411996], [ 0.087418   -0.0162889   0.01473436]
71, [-0.03941705  1.10035961  0.04411996], [ 0.087418   -0.0162889   0.01473436]
72, [-0.03941705  1.10035961  0.04411996], [ 0.087418   -0.0162889   0.01473436]
73, [-0.03658411  1.09850537  0.04698059], [ 0.08105654 -0.03795224  0.00249775]
74, [-0.04261504  1.10240731  0.04044158], [ 0.06557041 -0.01353288  0.03296569]
75, [-0.03941705  1.10035961  0.04411996], [ 0.087418   -0.0162889   0.01473436]
76, [-0.03941705  1.10035961  0.04411996], [ 0.087418   -0.0162889   0.01473436]
77, [-0.02867372  1.0922317   0.05673168], [ 0.06463058 -0.01084292  0.0174301 ]
78, [-0.03941705  1.10035961  0.04411996], [ 0.087418   -0.0162889   0.01473436]
79, [-0.03941705  1.10035961  0.04411996], [ 0.087418   -0.0162889   0.01473436]
