frame index, translation vector, rotation vector
1, [ 1.73741426  0.02394378 -0.08266126], [-0.57089997 -1.16329528  0.00759671]
2, [ 1.72316252  0.03078116 -0.0623485 ], [-0.58274785 -1.18582371  0.01332433]
3, [ 1.73067353  0.02745578 -0.07266208], [-0.54455075 -1.20129559  0.00493398]
4, [ 1.73067353  0.02745578 -0.07266208], [-0.54455075 -1.20129559  0.00493398]
5, [ 1.73067353  0.02745578 -0.07266208], [-0.54455075 -1.20129559  0.00493398]
6, [ 1.73840719  0.02431188 -0.08326231], [-0.57183703 -1.16196182  0.00753945]
7, [ 1.73067353  0.02745578 -0.07266208], [-0.54455075 -1.20129559  0.00493398]
8, [ 1.73067353  0.02745578 -0.07266208], [-0.54455075 -1.20129559  0.00493398]
9, [ 1.73067353  0.02745578 -0.07266208], [-0.54455075 -1.20129559  0.00493398]
10, [ 1.73067353  0.02745578 -0.07266208], [-0.54455075 -1.20129559  0.00493398]
11, [ 1.73067353  0.02745578 -0.07266208], [-0.54455075 -1.20129559  0.00493398]
12, [ 1.73067353  0.02745578 -0.07266208], [-0.54455075 -1.20129559  0.00493398]
13, [ 1.73067353  0.02745578 -0.07266208], [-0.54455075 -1.20129559  0.00493398]
14, [ 1.73067353  0.02745578 -0.07266208], [-0.54455075 -1.20129559  0.00493398]
15, [ 1.73067353  0.02745578 -0.07266208], [-0.54455075 -1.20129559  0.00493398]
16, [ 1.73067353  0.02745578 -0.07266208], [-0.54455075 -1.20129559  0.00493398]
17, [ 1.73067353  0.02745578 -0.07266208], [-0.54455075 -1.20129559  0.00493398]
18, [ 1.73067353  0.02745578 -0.07266208], [-0.54455075 -1.20129559  0.00493398]
19, [ 1.73067353  0.02745578 -0.07266208], [-0.54455075 -1.20129559  0.00493398]
20, [ 1.73840719  0.02431188 -0.08326231], [-0.57183703 -1.16196182  0.00753945]
21, [ 1.73067353  0.02745578 -0.07266208], [-0.54455075 -1.20129559  0.00493398]
22, [ 1.73067353  0.02745578 -0.07266208], [-0.54455075 -1.20129559  0.00493398]
23, [ 1.73067353  0.02745578 -0.07266208], [-0.54455075 -1.20129559  0.00493398]
24, [ 1.73067353  0.02745578 -0.07266208], [-0.54455075 -1.20129559  0.00493398]
25, [ 1.73067353  0.02745578 -0.07266208], [-0.54455075 -1.20129559  0.00493398]
26, [ 1.73067353  0.02745578 -0.07266208], [-0.54455075 -1.20129559  0.00493398]
27, [ 1.73067353  0.02745578 -0.07266208], [-0.54455075 -1.20129559  0.00493398]
28, [ 1.73067353  0.02745578 -0.07266208], [-0.54455075 -1.20129559  0.00493398]
29, [ 1.73067353  0.02745578 -0.07266208], [-0.54455075 -1.20129559  0.00493398]
30, [ 1.73067353  0.02745578 -0.07266208], [-0.54455075 -1.20129559  0.00493398]
31, [ 1.72959979  0.02768343 -0.07189181], [-0.5619026  -1.19161294  0.02678719]
32, [ 1.72250753  0.03135276 -0.06139197], [-0.5374754  -1.22862713  0.02340404]
33, [ 1.72250753  0.03135276 -0.06139197], [-0.5374754  -1.22862713  0.02340404]
34, [ 1.72250753  0.03135276 -0.06139197], [-0.5374754  -1.22862713  0.02340404]
35, [ 1.72250753  0.03135276 -0.06139197], [-0.5374754  -1.22862713  0.02340404]
