frame index, translation vector, rotation vector
1, [ 0.00498211 -0.20129605 -0.0638461 ], [-1.53638763 -0.34914705  0.07413202]
3, [ 0.00281866 -0.18162157 -0.04275255], [ 0.00200549  0.16994498 -0.06514396]
4, [ 0.00281866 -0.18162157 -0.04275255], [ 0.00200549  0.16994498 -0.06514396]
5, [ 0.00190039 -0.16735518 -0.02886097], [-1.58327506 -0.28662507  0.07910487]
6, [ 0.00281866 -0.18162157 -0.04275255], [ 0.00200549  0.16994498 -0.06514396]
9, [ 0.00498211 -0.20129605 -0.0638461 ], [-1.53638763 -0.34914705  0.07413202]
11, [ 0.00241102 -0.18112625 -0.04476099], [-0.02933174  0.16902929 -0.03652754]
27, [-0.00113429 -0.19099591 -0.05879864], [-0.05522137  0.14339784 -0.07862053]
35, [-0.01821377 -0.17102143 -0.04091209], [ 0.04594424 -0.08966098 -0.05037788]
37, [-0.02595768 -0.16396983 -0.03701488], [-1.55227668 -0.15718335 -0.09025081]
39, [-0.03541704 -0.14729382 -0.02169095], [ 0.04099637 -0.09153765 -0.07323966]
40, [-0.0327835  -0.21226476 -0.08529001], [-0.19154855 -0.0244018  -0.15189963]
41, [-0.0350031  -0.16899659 -0.04477632], [-1.5349185  -0.03608308 -0.20293105]
42, [-0.0350031  -0.16899659 -0.04477632], [-1.5349185  -0.03608308 -0.20293105]
44, [-0.03564028 -0.1904278  -0.06506382], [-1.58937859  0.01164943 -0.22474963]
47, [-0.0363783  -0.19057237 -0.06506454], [ 0.030623   -0.20619293 -0.07755086]
48, [-0.0346677  -0.19423832 -0.06942275], [-0.01854814 -0.16024877 -0.07790326]
49, [-0.03426543 -0.19036151 -0.06473502], [-1.58945481  0.01079378 -0.22475591]
50, [-0.03180244 -0.19487856 -0.07001718], [-0.04324807 -0.13619049 -0.07827191]
51, [-0.02640149 -0.19448969 -0.06761174], [-0.04087127 -0.08716982 -0.07750889]
52, [-0.02364627 -0.19433332 -0.06692908], [-0.04083689 -0.08808992 -0.07661838]
54, [-0.01955359 -0.2197804  -0.09161331], [-1.47866253 -0.09456977 -0.1037423 ]
55, [-0.02226103 -0.1685424  -0.04092537], [-1.54606339 -0.10513106 -0.09034558]
56, [-0.02042518 -0.19166714 -0.06313364], [-0.01629307 -0.05268621 -0.03904071]
58, [-0.01852393 -0.21435019 -0.0859392 ], [-1.48613601 -0.1393905  -0.06378355]
60, [-0.02215925 -0.16104187 -0.03285557], [-1.58013692 -0.17351396 -0.07414803]
61, [-0.01712771 -0.21426621 -0.08558859], [-1.48626311 -0.14022394 -0.06375179]
62, [-0.01861543 -0.16259876 -0.03423283], [-1.5531548  -0.14585697 -0.05311919]
63, [-0.01316266 -0.19140067 -0.0676694 ], [-1.50615757 -0.23987488 -0.02424129]
76, [-0.01028752 -0.18854423 -0.11743634], [-1.69727268 -0.07474523 -0.11518031]
77, [-0.00888552 -0.18847212 -0.1170933 ], [-1.69735782 -0.07557423 -0.11524984]
78, [-0.01042938 -0.16368253 -0.09133537], [-1.70908785 -0.04962762 -0.11431914]
87, [-0.00785285 -0.23331817 -0.16217095], [ 0.08126918 -0.02660827 -0.08239905]
89, [-0.00751071 -0.25821564 -0.19093543], [ 0.03933264 -0.01106344 -0.069132  ]
91, [-0.01154855 -0.21149714 -0.14360958], [ 0.1599149  -0.07452744 -0.05912907]
92, [-0.00707709 -0.26149053 -0.19591451], [ 0.06140685 -0.03902269 -0.0674684 ]
93, [-0.01101425 -0.20639459 -0.13969688], [ 0.13730042 -0.03648048 -0.0216757 ]
904, [-0.01160568 -0.23320315 -0.18002481], [-1.72609838 -0.02026814 -0.17147369]
905, [-0.01464236 -0.20562447 -0.15159046], [ 0.24778572 -0.16254893 -0.06391214]
921, [-0.01154565 -0.23277207 -0.18036409], [ 0.21303607 -0.15580052 -0.0459561 ]
925, [-0.01154565 -0.23277207 -0.18036409], [ 0.21303607 -0.15580052 -0.0459561 ]
929, [-0.01154565 -0.23277207 -0.18036409], [ 0.21303607 -0.15580052 -0.0459561 ]
930, [-0.01154565 -0.23277207 -0.18036409], [ 0.21303607 -0.15580052 -0.0459561 ]
931, [-0.01154565 -0.23277207 -0.18036409], [ 0.21303607 -0.15580052 -0.0459561 ]
932, [-0.01154565 -0.23277207 -0.18036409], [ 0.21303607 -0.15580052 -0.0459561 ]
933, [-0.01154565 -0.23277207 -0.18036409], [ 0.21303607 -0.15580052 -0.0459561 ]
938, [-0.00761788 -0.28805181 -0.23780123], [ 0.2958652  -0.11974298  0.00277216]
939, [-0.00761788 -0.28805181 -0.23780123], [ 0.2958652  -0.11974298  0.00277216]
1827, [-0.01283242 -0.22657762 -0.17296204], [ 0.13209881 -0.02947493 -0.07956928]
1828, [-0.01283242 -0.22657762 -0.17296204], [ 0.13209881 -0.02947493 -0.07956928]
1829, [-0.01283242 -0.22657762 -0.17296204], [ 0.13209881 -0.02947493 -0.07956928]
1830, [-0.01283242 -0.22657762 -0.17296204], [ 0.13209881 -0.02947493 -0.07956928]
1831, [-0.01283242 -0.22657762 -0.17296204], [ 0.13209881 -0.02947493 -0.07956928]
1832, [-0.01283242 -0.22657762 -0.17296204], [ 0.13209881 -0.02947493 -0.07956928]
3430, [-0.00765595 -0.28848296 -0.23770853], [ 0.27397059 -0.14123346 -0.0017382 ]
3431, [-0.00765595 -0.28848296 -0.23770853], [ 0.27397059 -0.14123346 -0.0017382 ]
3432, [-0.00765595 -0.28848296 -0.23770853], [ 0.27397059 -0.14123346 -0.0017382 ]
3433, [-0.00765595 -0.28848296 -0.23770853], [ 0.27397059 -0.14123346 -0.0017382 ]
3435, [-0.00765929 -0.2875516  -0.23727225], [ 0.25238093 -0.16334131 -0.00604803]
3436, [-0.00765929 -0.2875516  -0.23727225], [ 0.25238093 -0.16334131 -0.00604803]
3437, [-0.00765929 -0.2875516  -0.23727225], [ 0.25238093 -0.16334131 -0.00604803]
3438, [-0.00765929 -0.2875516  -0.23727225], [ 0.25238093 -0.16334131 -0.00604803]
3474, [-0.01314317 -0.20648398 -0.15221095], [ 0.16182174 -0.11784069 -0.0634867 ]
3475, [-0.01314317 -0.20648398 -0.15221095], [ 0.16182174 -0.11784069 -0.0634867 ]
