frame index, translation vector, rotation vector
1, [ 0.15053213 -0.09016612 -0.1013427 ], [ 0.02948625  0.09988617 -0.04907107]
2, [ 0.15264006 -0.10098305 -0.11276072], [ 0.04460473  0.07146748 -0.04652395]
3, [ 0.15107851 -0.09054341 -0.10091218], [-1.48792582 -0.41785926  0.02931177]
4, [ 0.15107851 -0.09054341 -0.10091218], [-1.48792582 -0.41785926  0.02931177]
5, [ 0.15107851 -0.09054341 -0.10091218], [-1.48792582 -0.41785926  0.02931177]
6, [ 0.15107851 -0.09054341 -0.10091218], [-1.48792582 -0.41785926  0.02931177]
7, [ 0.15107851 -0.09054341 -0.10091218], [-1.48792582 -0.41785926  0.02931177]
8, [ 0.15328518 -0.10084624 -0.11277137], [-1.50288913 -0.39347972  0.00817358]
9, [ 0.15264006 -0.10098305 -0.11276072], [ 0.04460473  0.07146748 -0.04652395]
10, [ 0.1472168  -0.07182583 -0.08155087], [ 0.06369312  0.0903421  -0.02275992]
11, [ 0.14390677 -0.05728437 -0.06557314], [ 0.07127581  0.06691792 -0.00408076]
12, [ 0.15280682 -0.09993428 -0.11363712], [ 0.04526477  0.07149107 -0.04637528]
13, [ 0.14896866 -0.08190338 -0.09480097], [0.04881973 0.05955237 0.00805486]
14, [ 0.14554624 -0.06578887 -0.07445863], [ 0.0875514   0.04076931 -0.00187572]
15, [ 0.15053213 -0.09016612 -0.1013427 ], [ 0.02948625  0.09988617 -0.04907107]
16, [ 0.15053213 -0.09016612 -0.1013427 ], [ 0.02948625  0.09988617 -0.04907107]
18, [ 0.14910333 -0.0815342  -0.09175751], [ 0.07926195  0.06351238 -0.02052986]
19, [ 0.14561015 -0.06519391 -0.07479196], [ 0.08815563  0.04046165 -0.00144839]
20, [ 0.15024511 -0.08574402 -0.09790684], [ 0.05252412  0.0470655  -0.02676956]
21, [ 0.15024511 -0.08574402 -0.09790684], [ 0.05252412  0.0470655  -0.02676956]
22, [ 0.15024511 -0.08574402 -0.09790684], [ 0.05252412  0.0470655  -0.02676956]
23, [ 0.14890174 -0.08297027 -0.09447298], [ 0.08355778  0.05135718 -0.05590826]
24, [ 0.15207174 -0.09979726 -0.11390986], [-1.50213957 -0.39275189  0.00815207]
