frame index, translation vector, rotation vector
1, [ 0.01339871  0.04949292 -0.0970038 ], [-0.01126158  0.05690453 -0.05214245]
2, [ 0.01307207  0.05247283 -0.09334009], [-0.06128922  0.07208366 -0.06107386]
3, [ 0.01340024  0.04485476 -0.10125525], [-0.03754508  0.11605272 -0.07439378]
4, [ 0.01594719  0.02808917 -0.1225743 ], [-1.26846994 -0.24241553 -0.02795622]
5, [ 0.01324391  0.04849966 -0.09619939], [-0.01197875  0.05685567 -0.05225632]
6, [ 0.01324391  0.04849966 -0.09619939], [-0.01197875  0.05685567 -0.05225632]
7, [ 0.01543792  0.03204755 -0.11719608], [-1.30339436 -0.25633743 -0.01413091]
8, [ 0.01439627  0.03639591 -0.11216704], [-0.02138649  0.08370373 -0.07067603]
9, [ 0.01392898  0.04066347 -0.10692202], [-0.07106464  0.10126162 -0.0803511 ]
10, [ 0.01543178  0.03008493 -0.11987609], [-0.08071776  0.13260653 -0.10064861]
11, [ 0.01559476  0.03305661 -0.11801031], [-1.30273625 -0.25645541 -0.01411768]
12, [ 0.01594994  0.02535404 -0.128347  ], [-0.12488932  0.03208018 -0.08626637]
14, [ 0.01547417  0.0290552  -0.12326542], [-0.08847352  0.0506505  -0.08156952]
15, [ 0.01339871  0.04949292 -0.0970038 ], [-0.01126158  0.05690453 -0.05214245]
16, [ 0.01339871  0.04949292 -0.0970038 ], [-0.01126158  0.05690453 -0.05214245]
17, [ 0.01530583  0.03468807 -0.11465857], [-0.05690139  0.07832088 -0.04340655]
19, [ 0.01433137  0.04225154 -0.10694299], [-0.0755085   0.02000068 -0.06125785]
20, [ 0.01492016  0.03749866 -0.11330775], [-0.05395226 -0.01340088 -0.05699313]
21, [ 0.01475839  0.03898657 -0.11148075], [-0.10996765 -0.00045785 -0.0651218 ]
22, [ 0.01413695  0.04523983 -0.10428767], [-0.1309934   0.03524829 -0.07001195]
23, [ 0.0144874   0.04324954 -0.10775497], [-0.07478582  0.02005696 -0.06116001]
24, [ 0.01417722  0.0442298  -0.10500898], [ 0.00766955  0.0271415  -0.04933401]
25, [ 0.01610807  0.02636831 -0.12916875], [-0.12416135  0.03214564 -0.08616595]
26, [ 0.01005649  0.06939209 -0.07630037], [ 0.03170945  0.04924788 -0.02943895]
27, [ 0.01113587  0.05139435 -0.0992121 ], [-0.00976168  0.05817059 -0.05282425]
28, [ 0.01224602  0.04237312 -0.11137597], [-0.02115421  0.00843826 -0.05391542]
29, [ 0.01348595  0.02806071 -0.12912893], [-0.03386107  0.03601893 -0.07319707]
30, [ 0.01406705  0.01845875 -0.1429963 ], [-1.21251038 -0.17266449 -0.0796063 ]
31, [ 0.0126114   0.02455839 -0.13423308], [-0.06696121  0.0173348  -0.07804082]
32, [ 0.00836247  0.05386198 -0.10009484], [-1.33965832 -0.12553834 -0.11006241]
33, [ 0.00707792  0.05380991 -0.10040642], [-1.33956684 -0.12480474 -0.11006697]
