frame index, translation vector, rotation vector
1, [-0.13024697 -0.07379434 -0.06450735], [ 0.01504773  0.11204051 -0.00952252]
2, [-0.1308934  -0.10223464 -0.09630949], [-1.46072735 -0.11691799  0.02680958]
3, [-0.12984614 -0.0664981  -0.05650213], [ 0.02947491  0.06479991 -0.05846874]
4, [-0.12984614 -0.0664981  -0.05650213], [ 0.02947491  0.06479991 -0.05846874]
5, [-0.13088243 -0.09119172 -0.08204388], [-0.02796269  0.1304461   0.00269562]
6, [-0.12984614 -0.0664981  -0.05650213], [ 0.02947491  0.06479991 -0.05846874]
7, [-0.13398923 -0.42554976 -0.44595435], [-0.32230205  0.00196192 -0.03366247]
8, [-0.13081109 -0.09493377 -0.08757797], [-0.0413846   0.13657107 -0.06748372]
9, [-0.13095384 -0.07801066 -0.0692234 ], [-0.02985584  0.11061733 -0.04906254]
10, [-0.1308934  -0.10223464 -0.09630949], [-1.46072735 -0.11691799  0.02680958]
11, [-0.13064859 -0.09387736 -0.08838311], [-0.04069929  0.13668142 -0.06738979]
12, [-0.13031929 -0.06518479 -0.05789956], [-1.53179772 -0.04266838  0.01940196]
13, [-0.13070155 -0.07560195 -0.07028129], [-1.48433935 -0.13515611  0.02266419]
14, [-0.13077944 -0.10174369 -0.0964603 ], [-0.02322874  0.10668503 -0.06438447]
15, [-0.1308934  -0.10223464 -0.09630949], [-1.46072735 -0.11691799  0.02680958]
16, [-0.13026203 -0.07900914 -0.07145265], [-1.50178768 -0.0963908   0.03994249]
17, [-0.13026203 -0.07900914 -0.07145265], [-1.50178768 -0.0963908   0.03994249]
18, [-0.13012569 -0.10051444 -0.09529073], [-1.46217275 -0.11669205  0.02673739]
19, [-0.13077398 -0.07222849 -0.06437244], [ 9.32527035e-05  1.27976973e-01 -4.52152717e-02]
20, [-0.12989691 -0.04766083 -0.03700822], [ 0.08573349  0.03736396 -0.03736933]
21, [-0.13073006 -0.10117791 -0.09712578], [-1.46003948 -0.11713365  0.02687297]
22, [-0.13075677 -0.10741165 -0.10441434], [-1.47930351 -0.09147982  0.00737577]
32, [-0.13929954 -0.06616727 -0.08144983], [ 0.026194   -0.02302362 -0.06333467]
38, [-0.15213411 -0.0705341  -0.12189116], [ 0.016735   -0.14326387 -0.08629165]
46, [-0.154739    0.00082682 -0.05366241], [-1.50449252  0.0910667  -0.24076104]
47, [-0.15528182 -0.03490059 -0.09415878], [ 0.04115999 -0.21509394 -0.10687685]
48, [-0.15605585 -0.04913794 -0.10983075], [-1.40954483  0.18211769 -0.24660873]
49, [-0.1552326  -0.06103595 -0.12118828], [-1.4558125   0.13673016 -0.20929312]
50, [-0.15418399 -0.06515291 -0.12311882], [-1.43103624  0.11815647 -0.19255315]
51, [-0.15171585 -0.07235986 -0.12082205], [-0.03617398 -0.14592048 -0.08583105]
52, [-0.14972572 -0.0534173  -0.0958863 ], [-1.45367117  0.10119263 -0.15622603]
53, [-0.14876571 -0.05685486 -0.09575481], [-0.02057842 -0.11402677 -0.06892325]
54, [-0.14876571 -0.05685486 -0.09575481], [-0.02057842 -0.11402677 -0.06892325]
55, [-0.14755098 -0.05845888 -0.09613527], [-1.45626736  0.06009665 -0.12081263]
56, [-0.14755098 -0.05845888 -0.09613527], [-1.45626736  0.06009665 -0.12081263]
57, [-0.14690235 -0.03903912 -0.07195892], [ 0.02293363 -0.07193645 -0.08445891]
58, [-0.14685761 -0.03842948 -0.07175763], [ 0.04589704 -0.09626828 -0.08401081]
59, [-0.14766367 -0.05915256 -0.09562121], [ 0.0034931  -0.08989761 -0.06795758]
60, [-0.14759877 -0.05772544 -0.09450963], [-0.02115968 -0.1146306  -0.06848622]
61, [-0.14726165 -0.07928827 -0.11638176], [-1.43853339  0.08704633 -0.12103461]
62, [-0.14545112 -0.06192852 -0.0928117 ], [ 0.02669566 -0.06719331 -0.06636308]
63, [-0.14299287 -0.06147521 -0.08885019], [ 0.02877704 -0.02048954 -0.06479624]
64, [-0.14283049 -0.05886862 -0.08740601], [ 0.05507953  0.00052015 -0.06246495]
65, [-0.14171748 -0.01386151 -0.03973877], [-1.56927899 -0.02414991 -0.0366309 ]
66, [-0.14171748 -0.01386151 -0.03973877], [-1.56927899 -0.02414991 -0.0366309 ]
67, [-0.14513853 -0.05459344 -0.09633191], [-1.55197745  0.02650781 -0.08441421]
68, [-0.14678524 -0.05040512 -0.10515103], [ 0.1275882  -0.08083221 -0.09773462]
69, [-0.14725809 -0.06362285 -0.1330429 ], [ 0.09311489 -0.11799008 -0.0841788 ]
70, [-0.14793862 -0.06051947 -0.13837104], [ 0.16341564 -0.09568082 -0.0814426 ]
71, [-0.14748174 -0.05575071 -0.13794197], [ 0.16482064 -0.13883934 -0.08499006]
72, [-0.14616117 -0.03713451 -0.11412292], [ 0.17769676 -0.1233253  -0.10014065]
73, [-0.14427287 -0.03525576 -0.10956172], [ 0.1768172  -0.15362653 -0.06860052]
74, [-0.14392492 -0.05840728 -0.13413397], [ 0.16295522 -0.14052239 -0.08355495]
75, [-0.14351064 -0.07967693 -0.15645724], [ 0.1477475  -0.15788237 -0.06711341]
76, [-0.14207724 -0.05619901 -0.12815641], [ 0.20489697 -0.1695614  -0.05127426]
77, [-0.14057372 -0.03821802 -0.10902894], [-1.62262321  0.09443016 -0.14991582]
78, [-0.14071274 -0.05895544 -0.13209167], [ 0.20417308 -0.1284299  -0.046363  ]
79, [-0.140726   -0.05762636 -0.13004978], [ 0.18330856 -0.14995479 -0.04872173]
80, [-0.140726   -0.05762636 -0.13004978], [ 0.18330856 -0.14995479 -0.04872173]
81, [-0.1401059  -0.03734154 -0.10509537], [ 0.21541395 -0.14168036 -0.03155576]
82, [-0.13940837 -0.03909323 -0.10778646], [-1.62344737  0.09378897 -0.15011925]
83, [-0.14094386 -0.07903827 -0.15240275], [-1.57524146  0.12787283 -0.13004589]
84, [-0.14025541 -0.05888648 -0.12863109], [-1.61093278  0.11875365 -0.14834117]
85, [-0.14095331 -0.06024767 -0.13053423], [ 0.16053005 -0.12915021 -0.04733931]
86, [-0.14159014 -0.06015894 -0.13086347], [-1.58940475  0.1026749  -0.13172171]
87, [-0.14367778 -0.07928495 -0.15321068], [-1.57493721  0.12944495 -0.12994031]
88, [-0.14442185 -0.08040409 -0.15433301], [ 0.14577737 -0.14484457 -0.03189415]
89, [-0.14488022 -0.078386   -0.15449645], [-1.57409328  0.13006649 -0.12974241]
90, [-0.14340283 -0.05894784 -0.13259661], [ 0.16149059 -0.12792708 -0.04857676]
91, [-0.14405112 -0.07664249 -0.15389609], [-1.5948463   0.14664329 -0.14614904]
92, [-0.14333506 -0.05732383 -0.13123082], [ 0.18361158 -0.14887213 -0.04998146]
93, [-0.14318359 -0.03816028 -0.1101676 ], [ 0.19655917 -0.13306223 -0.06571774]
94, [-0.14388689 -0.05677209 -0.13203602], [-1.60891935  0.1204667  -0.14793856]
95, [-0.1431943  -0.03695757 -0.10828012], [ 0.21730846 -0.15317489 -0.06771846]
96, [-0.14254105 -0.05665019 -0.13163729], [-1.60905793  0.11967817 -0.1480049 ]
97, [-0.14324838 -0.09923485 -0.18368785], [ 0.15719016 -0.15219325 -0.0484488 ]
98, [-0.14285485 -0.05469102 -0.13428475], [ 0.22744133 -0.14759857 -0.04905087]
99, [-0.14448235 -0.10838809 -0.20447088], [-1.56278699  0.1862507  -0.18252866]
100, [-0.14443734 -0.08623617 -0.17791883], [ 0.18510002 -0.20230417 -0.01889144]
101, [-0.14443734 -0.08623617 -0.17791883], [ 0.18510002 -0.20230417 -0.01889144]
102, [-0.14443734 -0.08623617 -0.17791883], [ 0.18510002 -0.20230417 -0.01889144]
103, [-0.14416907 -0.04697544 -0.13311503], [-1.64643376  0.15150795 -0.17968632]
104, [-0.14416907 -0.04697544 -0.13311503], [-1.64643376  0.15150795 -0.17968632]
105, [-0.14427038 -0.04982556 -0.13592604], [-1.66705977  0.13585051 -0.162301  ]
106, [-0.14358517 -0.04925858 -0.13513553], [-1.66699601  0.12045803 -0.20218483]
107, [-0.14358517 -0.04925858 -0.13513553], [-1.66699601  0.12045803 -0.20218483]
108, [-0.14358517 -0.04925858 -0.13513553], [-1.66699601  0.12045803 -0.20218483]
109, [-0.14355673 -0.04647994 -0.13139135], [-1.64665538  0.1361056  -0.21946183]
110, [-0.14378996 -0.06889549 -0.15662032], [ 0.19726914 -0.19789964 -0.07162311]
111, [-0.14378996 -0.06889549 -0.15662032], [ 0.19726914 -0.19789964 -0.07162311]
112, [-0.14378996 -0.06889549 -0.15662032], [ 0.19726914 -0.19789964 -0.07162311]
113, [-0.14347734 -0.02722265 -0.10924524], [ 0.26265518 -0.1906291  -0.07291254]
114, [-0.14357057 -0.03002373 -0.11200858], [ 0.2814995  -0.17057925 -0.06999517]
115, [-0.14358517 -0.04925858 -0.13513553], [-1.66699601  0.12045803 -0.20218483]
116, [-0.14378996 -0.06889549 -0.15662032], [ 0.19726914 -0.19789964 -0.07162311]
