frame index, translation vector, rotation vector
1, [0 0 0], [0 0 0]
2, [5.55111512e-17 0.00000000e+00 0.00000000e+00], [0. 0. 0.]
3, [-0.00194362  0.03391649  0.03903529], [-0.00623824 -0.07466851  0.03401069]
4, [-0.00038503  0.00723756  0.00803973], [ 0.0049451  -0.00969875  0.00759611]
5, [ 0.00071329 -0.00086331 -0.00083094], [-0.00137032 -0.00015753  0.00011384]
6, [-0.00147146  0.02520009  0.02983006], [-0.02306382 -0.07601863  0.02611006]
7, [-0.00194362  0.03391649  0.03903529], [-0.00623824 -0.07466851  0.03401069]
8, [-0.00194362  0.03391649  0.03903529], [-0.00623824 -0.07466851  0.03401069]
9, [-0.00194362  0.03391649  0.03903529], [-0.00623824 -0.07466851  0.03401069]
10, [-0.00146915  0.02646325  0.03031311], [-0.02534032 -0.07111176  0.03985353]
11, [-0.00020502 -0.00138117 -0.00396476], [ 0.00839734 -0.0115016   0.00116242]
12, [ 4.78255935e-05 -6.53505437e-03 -1.01900114e-02], [-0.00494538  0.00983154 -0.00752014]
13, [-0.00149577  0.01026462  0.0079122 ], [ 0.01751711 -0.0007221   0.008946  ]
14, [-0.00178253  0.02575018  0.02759365], [-0.02339753 -0.07636427  0.02636116]
15, [5.55111512e-17 0.00000000e+00 0.00000000e+00], [0. 0. 0.]
16, [-0.00194362  0.03391649  0.03903529], [-0.00623824 -0.07466851  0.03401069]
17, [-0.00194362  0.03391649  0.03903529], [-0.00623824 -0.07466851  0.03401069]
18, [-0.00194362  0.03391649  0.03903529], [-0.00623824 -0.07466851  0.03401069]
19, [-0.0022029   0.02841496  0.03188859], [-0.03340507 -0.06009463  0.03873664]
20, [-0.00225347  0.0344764   0.03682977], [-0.00649846 -0.07496772  0.03425249]
21, [ 4.78255935e-05 -6.53505437e-03 -1.01900114e-02], [-0.00494538  0.00983154 -0.00752014]
22, [-0.00032183  0.00059718 -0.00224838], [-9.66920020e-05 -1.32156041e-04  2.05522650e-04]
23, [-0.00170092  0.02614994  0.02712529], [-0.02320511 -0.07572697  0.02595817]
24, [-0.00240176  0.02702425  0.02797245], [-0.02171344 -0.07544185  0.02577915]
25, [-0.00173899  0.00801738  0.00392145], [ 0.007869   -0.01389867 -0.00694144]
26, [-0.00268848  0.00585907  0.0003675 ], [ 0.00589557 -0.03374332 -0.00760535]
27, [-0.0038051   0.00487587 -0.00142358], [ 0.01530329 -0.04479706 -0.00683183]
28, [-0.00465583  0.01184427  0.00531413], [ 0.02214196 -0.05857082 -0.01367428]
29, [-0.00586677  0.02096069  0.01582009], [ 0.01945396 -0.05600847 -0.00746964]
30, [-0.0010101  -0.02614579 -0.03484341], [ 0.01282383  0.01064166 -0.03468482]
31, [-0.00220531 -0.02792961 -0.03658895], [ 0.0007603   0.00228064 -0.03654462]
32, [-0.00667335  0.02402244  0.02021391], [-1.48598817 -0.05668834 -0.09424467]
33, [-0.00518364 -0.0263007  -0.03628767], [ 0.00175692 -0.05346436 -0.04472006]
34, [-0.00768548 -0.02748039 -0.0380882 ], [ 0.00210256 -0.07905792 -0.06017312]
35, [-0.01543998  0.02833877  0.02090585], [-0.00246144 -0.18236925 -0.03368864]
36, [-0.01762528  0.02160277  0.01242061], [-0.02019055 -0.2006283  -0.02819237]
37, [-0.01556387 -0.02050116 -0.0331934 ], [-0.00486994 -0.14254751 -0.07064726]
38, [-0.01777018 -0.01747533 -0.03020563], [-0.00298134 -0.18469278 -0.07103197]
39, [-0.02104344 -0.02205986 -0.03551429], [-0.02005244 -0.23070358 -0.07949683]
40, [-0.02104344 -0.02205986 -0.03551429], [-0.02005244 -0.23070358 -0.07949683]
41, [-0.0230512   0.01829025  0.01023803], [-1.40968675  0.09408628 -0.26695701]
42, [-0.02170376 -0.02038933 -0.03473361], [-0.01919962 -0.23551148 -0.09419785]
43, [-0.02170376 -0.02038933 -0.03473361], [-0.01919962 -0.23551148 -0.09419785]
44, [-0.02140026 -0.02870221 -0.0440449 ], [-0.02753535 -0.24520916 -0.0871924 ]
45, [-0.02267184 -0.0171287  -0.030758  ], [-0.00584293 -0.26055893 -0.07995563]
46, [-0.02227921 -0.02649745 -0.04123695], [-0.01414034 -0.25434819 -0.08742729]
47, [-0.02257038 -0.01829608 -0.03205243], [-0.00616375 -0.24476572 -0.09438712]
48, [-0.02267314 -0.01253983 -0.02558066], [ 0.02072745 -0.2287663  -0.08680308]
49, [-0.02182651 -0.01440936 -0.02801031], [ 0.00836894 -0.21955525 -0.08657027]
50, [-0.02037085 -0.01646738 -0.03005572], [-0.01404754 -0.20011061 -0.08652476]
51, [-0.01517729 -0.02791633 -0.0424524 ], [-0.01174153 -0.15593703 -0.07839402]
52, [-0.01581702 -0.0024165  -0.0123885 ], [ 0.02271989 -0.13329357 -0.06816885]
53, [-0.01367803 -0.01976339 -0.0320037 ], [-0.00291802 -0.12254817 -0.06943259]
54, [-0.01306769 -0.0199326  -0.03159057], [ 0.00717238 -0.10713804 -0.05421686]
55, [-0.01240971 -0.01934403 -0.03129137], [-0.00184254 -0.10105822 -0.06937459]
56, [-0.01275117 -0.01076069 -0.02216826], [ 0.01559371 -0.09956732 -0.06086488]
57, [-0.01174661 -0.01975032 -0.03162061], [-0.00368239 -0.1175654  -0.05469454]
58, [-0.01174661 -0.01975032 -0.03162061], [-0.00368239 -0.1175654  -0.05469454]
59, [-0.01171107 -0.01936631 -0.03166631], [ 0.00750786 -0.10706797 -0.05413221]
60, [-0.01140603 -0.02813961 -0.04051624], [ 0.00088627 -0.09891699 -0.06161716]
61, [-0.01219787 -0.01112098 -0.0215    ], [ 0.03493209 -0.09634546 -0.04428079]
62, [-0.00990854 -0.01915086 -0.03010877], [ 0.00928305 -0.09244427 -0.06740374]
63, [-0.01125551  0.00328715 -0.00988883], [-0.01395258 -0.1013078  -0.04106745]
64, [-0.00695678 -0.02801119 -0.04639906], [ 0.04518814 -0.03238933 -0.06298171]
65, [-0.01324151  0.02560844  0.0055179 ], [ 0.08472128 -0.06724421 -0.03277862]
66, [-0.01324151  0.02560844  0.0055179 ], [ 0.08472128 -0.06724421 -0.03277862]
67, [-0.01394158  0.00956011 -0.01671897], [ 0.0716987  -0.10340337 -0.03599636]
68, [-0.01633848  0.020523   -0.0108894 ], [ 0.10755547 -0.13938721 -0.0288665 ]
69, [-0.01727179  0.02466963 -0.01206969], [ 0.12883475 -0.17569046 -0.03078022]
70, [-0.01269067 -0.02116078 -0.06745469], [ 0.16356136 -0.13430584 -0.06168022]
71, [-0.01314396 -0.01926463 -0.0683609 ], [ 0.18386063 -0.14000191 -0.07577192]
72, [-0.01683084  0.02898487 -0.01375081], [ 0.16809526 -0.19256883 -0.0305621 ]
73, [-0.0160651   0.03701371 -0.00336248], [ 0.17289708 -0.1988795  -0.02308545]
74, [-0.01578868  0.05489105  0.01971213], [ 0.12040149 -0.2796427   0.00605092]
75, [-0.01386912  0.02894112 -0.01179455], [ 0.17597868 -0.19725416 -0.01469816]
76, [-0.01499896  0.06765605  0.03412353], [ 0.15541944 -0.26004923  0.02101945]
77, [-0.00945455  0.02738799 -0.01105728], [-1.59676989  0.03221456 -0.17591439]
78, [-0.00513658 -0.02916659 -0.07524624], [ 0.15566152 -0.15174826 -0.0231825 ]
79, [-0.00513658 -0.02916659 -0.07524624], [ 0.15566152 -0.15174826 -0.0231825 ]
80, [-0.00818822  0.01815975 -0.01831516], [ 0.14830492 -0.22617191 -0.00727271]
81, [-0.00578113 -0.02037938 -0.06372975], [ 0.1528186  -0.15439072 -0.03110173]
82, [-0.01271626  0.03863989  0.00106329], [ 0.1733729  -0.2126121  -0.00854357]
83, [-0.00433679 -0.02999305 -0.07655382], [ 0.1642555  -0.14243236 -0.02184011]
84, [-0.01208792  0.02876789 -0.01069257], [ 0.17479141 -0.19270964  0.00068771]
85, [-0.00515571 -0.02958021 -0.07522155], [ 0.14597421 -0.14217953 -0.0231786 ]
86, [-0.00589721 -0.03068617 -0.07512981], [ 0.15589662 -0.13807387 -0.03728267]
87, [-0.00720546 -0.03074678 -0.07544968], [ 0.1558966  -0.137594   -0.03778374]
88, [-0.01300417  0.02051197 -0.01991268], [ 0.1610294  -0.19567608 -0.00797822]
89, [-0.01568887  0.05190741  0.01769684], [ 0.14511698 -0.26765232  0.00696891]
90, [-0.01428118  0.02133321 -0.01969554], [ 0.17060622 -0.2037668  -0.00874935]
91, [-0.00841336 -0.02991235 -0.07623177], [ 0.16577427 -0.14650364 -0.03860277]
92, [-0.01557765  0.03727212 -0.00202236], [ 0.19094303 -0.19835913 -0.02215666]
93, [-0.0131016   0.0132409  -0.03027156], [ 0.15623112 -0.20797345 -0.0161194 ]
94, [-0.01420179  0.02177743 -0.02013486], [ 0.1708622  -0.20389567 -0.00846059]
95, [-0.01420179  0.02177743 -0.02013486], [ 0.1708622  -0.20389567 -0.00846059]
96, [-0.01250637  0.01438337 -0.02932754], [ 0.16524559 -0.21128181 -0.00165621]
97, [-0.01260682  0.01677464 -0.02755627], [ 0.1669537  -0.22917015 -0.00317197]
98, [-0.01425032  0.02557464 -0.01817592], [ 0.18240672 -0.22969407 -0.01069065]
99, [-0.01526365  0.02755274 -0.01948238], [ 0.22752096 -0.23457465 -0.01113181]
100, [-0.01526365  0.02755274 -0.01948238], [ 0.22752096 -0.23457465 -0.01113181]
101, [-0.01526365  0.02755274 -0.01948238], [ 0.22752096 -0.23457465 -0.01113181]
102, [-0.01526365  0.02755274 -0.01948238], [ 0.22752096 -0.23457465 -0.01113181]
103, [-0.01526365  0.02755274 -0.01948238], [ 0.22752096 -0.23457465 -0.01113181]
104, [-0.01526365  0.02755274 -0.01948238], [ 0.22752096 -0.23457465 -0.01113181]
105, [-0.01526365  0.02755274 -0.01948238], [ 0.22752096 -0.23457465 -0.01113181]
106, [-0.01526365  0.02755274 -0.01948238], [ 0.22752096 -0.23457465 -0.01113181]
107, [-0.01526365  0.02755274 -0.01948238], [ 0.22752096 -0.23457465 -0.01113181]
108, [-0.01526365  0.02755274 -0.01948238], [ 0.22752096 -0.23457465 -0.01113181]
109, [-0.01419556  0.01932676 -0.02930419], [ 0.21400466 -0.23909316 -0.01874116]
110, [-0.01526365  0.02755274 -0.01948238], [ 0.22752096 -0.23457465 -0.01113181]
111, [-0.01526365  0.02755274 -0.01948238], [ 0.22752096 -0.23457465 -0.01113181]
112, [-0.01526365  0.02755274 -0.01948238], [ 0.22752096 -0.23457465 -0.01113181]
