frame index, translation vector, rotation vector
1, [-0.89234454  0.69535016  2.04406728], [ 0.02973708  1.86298047 -0.91892323]
2, [-0.89234454  0.69535016  2.04406728], [ 0.02973708  1.86298047 -0.91892323]
3, [-0.89234454  0.69535016  2.04406728], [ 0.02973708  1.86298047 -0.91892323]
4, [-0.88820305  0.69218882  2.03336663], [-0.03496618 -2.80407327 -0.27180203]
5, [-0.89234454  0.69535016  2.04406728], [ 0.02973708  1.86298047 -0.91892323]
6, [-0.89234454  0.69535016  2.04406728], [ 0.02973708  1.86298047 -0.91892323]
7, [-0.87474594  0.68128541  2.00377177], [ 0.01506039  1.84134951 -0.91637026]
8, [-0.87749356  0.68307114  2.01007122], [ 0.0111368   1.83276684 -0.95161149]
9, [-0.87474594  0.68128541  2.00377177], [ 0.01506039  1.84134951 -0.91637026]
10, [-0.87474594  0.68128541  2.00377177], [ 0.01506039  1.84134951 -0.91637026]
11, [-0.87168726  0.67855352  1.99678211], [ 0.01867579  1.84933264 -0.88100225]
12, [-0.87496335  0.68074565  2.00393369], [-0.03833401 -2.80885432 -0.30905347]
13, [-0.87496335  0.68074565  2.00393369], [-0.03833401 -2.80885432 -0.30905347]
14, [-0.87496335  0.68074565  2.00393369], [-0.03833401 -2.80885432 -0.30905347]
15, [-0.87496335  0.68074565  2.00393369], [-0.03833401 -2.80885432 -0.30905347]
16, [-0.87496335  0.68074565  2.00393369], [-0.03833401 -2.80885432 -0.30905347]
17, [-0.87496335  0.68074565  2.00393369], [-0.03833401 -2.80885432 -0.30905347]
18, [-0.87496335  0.68074565  2.00393369], [-0.03833401 -2.80885432 -0.30905347]
19, [-0.87496335  0.68074565  2.00393369], [-0.03833401 -2.80885432 -0.30905347]
20, [-0.87496335  0.68074565  2.00393369], [-0.03833401 -2.80885432 -0.30905347]
21, [-0.87496335  0.68074565  2.00393369], [-0.03833401 -2.80885432 -0.30905347]
22, [-0.87496335  0.68074565  2.00393369], [-0.03833401 -2.80885432 -0.30905347]
23, [-0.87496335  0.68074565  2.00393369], [-0.03833401 -2.80885432 -0.30905347]
24, [-0.87496335  0.68074565  2.00393369], [-0.03833401 -2.80885432 -0.30905347]
25, [-0.87496335  0.68074565  2.00393369], [-0.03833401 -2.80885432 -0.30905347]
26, [-0.87496335  0.68074565  2.00393369], [-0.03833401 -2.80885432 -0.30905347]
27, [-0.87496335  0.68074565  2.00393369], [-0.03833401 -2.80885432 -0.30905347]
28, [-0.87496335  0.68074565  2.00393369], [-0.03833401 -2.80885432 -0.30905347]
29, [-0.87496335  0.68074565  2.00393369], [-0.03833401 -2.80885432 -0.30905347]
30, [-0.87496335  0.68074565  2.00393369], [-0.03833401 -2.80885432 -0.30905347]
31, [-0.87496335  0.68074565  2.00393369], [-0.03833401 -2.80885432 -0.30905347]
32, [-0.87496335  0.68074565  2.00393369], [-0.03833401 -2.80885432 -0.30905347]
33, [-0.87496335  0.68074565  2.00393369], [-0.03833401 -2.80885432 -0.30905347]
34, [-0.87496335  0.68074565  2.00393369], [-0.03833401 -2.80885432 -0.30905347]
35, [-0.87496335  0.68074565  2.00393369], [-0.03833401 -2.80885432 -0.30905347]
36, [-0.87496335  0.68074565  2.00393369], [-0.03833401 -2.80885432 -0.30905347]
37, [-0.87496335  0.68074565  2.00393369], [-0.03833401 -2.80885432 -0.30905347]
38, [-0.87496335  0.68074565  2.00393369], [-0.03833401 -2.80885432 -0.30905347]
39, [-0.87496335  0.68074565  2.00393369], [-0.03833401 -2.80885432 -0.30905347]
40, [-0.87496335  0.68074565  2.00393369], [-0.03833401 -2.80885432 -0.30905347]
41, [-0.87496335  0.68074565  2.00393369], [-0.03833401 -2.80885432 -0.30905347]
42, [-0.87749356  0.68307114  2.01007122], [ 0.0111368   1.83276684 -0.95161149]
43, [-0.87749356  0.68307114  2.01007122], [ 0.0111368   1.83276684 -0.95161149]
44, [-0.87749356  0.68307114  2.01007122], [ 0.0111368   1.83276684 -0.95161149]
45, [-0.87749356  0.68307114  2.01007122], [ 0.0111368   1.83276684 -0.95161149]
46, [-0.87749356  0.68307114  2.01007122], [ 0.0111368   1.83276684 -0.95161149]
47, [-0.87749356  0.68307114  2.01007122], [ 0.0111368   1.83276684 -0.95161149]
48, [-0.87749356  0.68307114  2.01007122], [ 0.0111368   1.83276684 -0.95161149]
49, [-0.87749356  0.68307114  2.01007122], [ 0.0111368   1.83276684 -0.95161149]
50, [-0.87749356  0.68307114  2.01007122], [ 0.0111368   1.83276684 -0.95161149]
51, [-0.87749356  0.68307114  2.01007122], [ 0.0111368   1.83276684 -0.95161149]
52, [-0.87474594  0.68128541  2.00377177], [ 0.01506039  1.84134951 -0.91637026]
53, [-0.87474594  0.68128541  2.00377177], [ 0.01506039  1.84134951 -0.91637026]
54, [-0.87474594  0.68128541  2.00377177], [ 0.01506039  1.84134951 -0.91637026]
55, [-0.87474594  0.68128541  2.00377177], [ 0.01506039  1.84134951 -0.91637026]
56, [-0.87474594  0.68128541  2.00377177], [ 0.01506039  1.84134951 -0.91637026]
57, [-0.87474594  0.68128541  2.00377177], [ 0.01506039  1.84134951 -0.91637026]
58, [-0.87474594  0.68128541  2.00377177], [ 0.01506039  1.84134951 -0.91637026]
59, [-0.87474594  0.68128541  2.00377177], [ 0.01506039  1.84134951 -0.91637026]
60, [-0.87474594  0.68128541  2.00377177], [ 0.01506039  1.84134951 -0.91637026]
61, [-0.87474594  0.68128541  2.00377177], [ 0.01506039  1.84134951 -0.91637026]
62, [-0.87474594  0.68128541  2.00377177], [ 0.01506039  1.84134951 -0.91637026]
63, [-0.87474594  0.68128541  2.00377177], [ 0.01506039  1.84134951 -0.91637026]
64, [-0.87474594  0.68128541  2.00377177], [ 0.01506039  1.84134951 -0.91637026]
