frame index, translation vector, rotation vector
1, [-0.19907478  0.0065445   1.57045393], [ 3.0227486   0.82528015 -0.21464619]
2, [-0.19907478  0.0065445   1.57045393], [ 3.0227486   0.82528015 -0.21464619]
3, [-0.19907478  0.0065445   1.57045393], [ 3.0227486   0.82528015 -0.21464619]
4, [-0.19804281  0.0065027   1.56445094], [ 2.96167626  0.81719955 -0.28214897]
5, [-0.19864006  0.00656014  1.56813722], [2.89095329 0.81345612 0.71689728]
6, [-0.19864006  0.00656014  1.56813722], [2.89095329 0.81345612 0.71689728]
7, [-0.19864006  0.00656014  1.56813722], [2.89095329 0.81345612 0.71689728]
8, [-0.19960588  0.00655752  1.57233206], [-2.98542577 -0.81289764  0.29415571]
9, [-0.20310105  0.00641353  1.60095236], [2.92561429 0.80098723 0.58503251]
10, [-0.20310105  0.00641353  1.60095236], [2.92561429 0.80098723 0.58503251]
11, [-0.20310105  0.00641353  1.60095236], [2.92561429 0.80098723 0.58503251]
12, [-0.19970792  0.00606282  1.57653444], [-2.91908522 -0.80976604 -0.73211933]
13, [-0.19970792  0.00606282  1.57653444], [-2.91908522 -0.80976604 -0.73211933]
14, [-0.19970792  0.00606282  1.57653444], [-2.91908522 -0.80976604 -0.73211933]
15, [-0.19970792  0.00606282  1.57653444], [-2.91908522 -0.80976604 -0.73211933]
16, [-0.19970792  0.00606282  1.57653444], [-2.91908522 -0.80976604 -0.73211933]
17, [-0.19970792  0.00606282  1.57653444], [-2.91908522 -0.80976604 -0.73211933]
18, [-0.19970792  0.00606282  1.57653444], [-2.91908522 -0.80976604 -0.73211933]
19, [-0.19970792  0.00606282  1.57653444], [-2.91908522 -0.80976604 -0.73211933]
20, [-0.19970792  0.00606282  1.57653444], [-2.91908522 -0.80976604 -0.73211933]
21, [-0.19970792  0.00606282  1.57653444], [-2.91908522 -0.80976604 -0.73211933]
22, [-0.19970792  0.00606282  1.57653444], [-2.91908522 -0.80976604 -0.73211933]
23, [-0.19970792  0.00606282  1.57653444], [-2.91908522 -0.80976604 -0.73211933]
24, [-0.19970792  0.00606282  1.57653444], [-2.91908522 -0.80976604 -0.73211933]
25, [-0.19970792  0.00606282  1.57653444], [-2.91908522 -0.80976604 -0.73211933]
26, [-0.19970792  0.00606282  1.57653444], [-2.91908522 -0.80976604 -0.73211933]
27, [-0.19970792  0.00606282  1.57653444], [-2.91908522 -0.80976604 -0.73211933]
28, [-0.20310105  0.00641353  1.60095236], [2.92561429 0.80098723 0.58503251]
29, [-0.20310105  0.00641353  1.60095236], [2.92561429 0.80098723 0.58503251]
30, [-0.20310105  0.00641353  1.60095236], [2.92561429 0.80098723 0.58503251]
31, [-0.20310105  0.00641353  1.60095236], [2.92561429 0.80098723 0.58503251]
32, [-0.20310105  0.00641353  1.60095236], [2.92561429 0.80098723 0.58503251]
33, [-0.20310105  0.00641353  1.60095236], [2.92561429 0.80098723 0.58503251]
34, [-0.20310105  0.00641353  1.60095236], [2.92561429 0.80098723 0.58503251]
35, [-0.20310105  0.00641353  1.60095236], [2.92561429 0.80098723 0.58503251]
36, [-0.20310105  0.00641353  1.60095236], [2.92561429 0.80098723 0.58503251]
37, [-0.20310105  0.00641353  1.60095236], [2.92561429 0.80098723 0.58503251]
38, [-0.20310105  0.00641353  1.60095236], [2.92561429 0.80098723 0.58503251]
39, [-0.20310105  0.00641353  1.60095236], [2.92561429 0.80098723 0.58503251]
40, [-0.20310105  0.00641353  1.60095236], [2.92561429 0.80098723 0.58503251]
41, [-0.20310105  0.00641353  1.60095236], [2.92561429 0.80098723 0.58503251]
42, [-0.20310105  0.00641353  1.60095236], [2.92561429 0.80098723 0.58503251]
43, [-0.20310105  0.00641353  1.60095236], [2.92561429 0.80098723 0.58503251]
44, [-0.20310105  0.00641353  1.60095236], [2.92561429 0.80098723 0.58503251]
45, [-0.20310105  0.00641353  1.60095236], [2.92561429 0.80098723 0.58503251]
46, [-0.20310105  0.00641353  1.60095236], [2.92561429 0.80098723 0.58503251]
47, [-0.20310105  0.00641353  1.60095236], [2.92561429 0.80098723 0.58503251]
48, [-0.20310105  0.00641353  1.60095236], [2.92561429 0.80098723 0.58503251]
49, [-0.20310105  0.00641353  1.60095236], [2.92561429 0.80098723 0.58503251]
50, [-0.20310105  0.00641353  1.60095236], [2.92561429 0.80098723 0.58503251]
51, [-0.20310105  0.00641353  1.60095236], [2.92561429 0.80098723 0.58503251]
52, [-0.20310105  0.00641353  1.60095236], [2.92561429 0.80098723 0.58503251]
53, [-0.20310105  0.00641353  1.60095236], [2.92561429 0.80098723 0.58503251]
54, [-0.20310105  0.00641353  1.60095236], [2.92561429 0.80098723 0.58503251]
55, [-0.20310105  0.00641353  1.60095236], [2.92561429 0.80098723 0.58503251]
56, [-0.20310105  0.00641353  1.60095236], [2.92561429 0.80098723 0.58503251]
57, [-0.20310105  0.00641353  1.60095236], [2.92561429 0.80098723 0.58503251]
58, [-0.20310105  0.00641353  1.60095236], [2.92561429 0.80098723 0.58503251]
