frame index, translation vector, rotation vector
1, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
2, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
3, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
4, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
5, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
6, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
7, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
8, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
9, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
10, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
11, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
12, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
13, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
14, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
15, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
16, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
17, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
18, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
19, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
20, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
21, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
22, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
23, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
24, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
25, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
26, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
27, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
28, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
29, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
30, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
31, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
32, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
33, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
34, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
35, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
36, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
37, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
38, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
39, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
40, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
41, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
42, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
43, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
44, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
45, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
46, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
47, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
48, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
49, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
50, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
51, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
52, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
53, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
54, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
55, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
56, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
57, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
58, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
59, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
60, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
61, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
62, [ 1.05925864 -0.35843712  2.01014368], [-2.37145675  1.90273653 -0.61951492]
63, [ 1.05925864 -0.35843712  2.01014368], [-2.37145675  1.90273653 -0.61951492]
64, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
65, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
66, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
67, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
68, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
69, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
70, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
71, [ 0.8010363  -0.31330684  1.52560342], [-2.33698658  1.9023225  -0.58609993]
72, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
73, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
74, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
75, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
76, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
77, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
78, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
79, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
80, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
81, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
82, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
83, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
84, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
85, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
86, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
87, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
88, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
89, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
90, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
91, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
92, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
93, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
94, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
95, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
96, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
97, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
98, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
99, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
100, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
101, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
102, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
103, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
104, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
105, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
106, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
107, [ 1.06568167 -0.35966715  2.02303017], [-2.32818531  1.89677162 -0.57288061]
