frame index, translation vector, rotation vector
1, [ 0.03074309  0.06513318 -0.0672227 ], [ 0.07297473  0.10414392 -0.04335188]
2, [ 0.03074309  0.06513318 -0.0672227 ], [ 0.07297473  0.10414392 -0.04335188]
3, [ 0.03074309  0.06513318 -0.0672227 ], [ 0.07297473  0.10414392 -0.04335188]
4, [ 0.03074309  0.06513318 -0.0672227 ], [ 0.07297473  0.10414392 -0.04335188]
5, [ 0.03074309  0.06513318 -0.0672227 ], [ 0.07297473  0.10414392 -0.04335188]
6, [ 0.03074309  0.06513318 -0.0672227 ], [ 0.07297473  0.10414392 -0.04335188]
7, [ 0.03074309  0.06513318 -0.0672227 ], [ 0.07297473  0.10414392 -0.04335188]
8, [ 0.03074309  0.06513318 -0.0672227 ], [ 0.07297473  0.10414392 -0.04335188]
9, [ 0.03074309  0.06513318 -0.0672227 ], [ 0.07297473  0.10414392 -0.04335188]
10, [ 0.03074309  0.06513318 -0.0672227 ], [ 0.07297473  0.10414392 -0.04335188]
11, [ 0.03118777  0.06395818 -0.06817011], [ 0.09157255  0.12483095 -0.04550168]
12, [ 0.03118777  0.06395818 -0.06817011], [ 0.09157255  0.12483095 -0.04550168]
13, [ 0.03118777  0.06395818 -0.06817011], [ 0.09157255  0.12483095 -0.04550168]
14, [ 0.03118777  0.06395818 -0.06817011], [ 0.09157255  0.12483095 -0.04550168]
15, [ 0.03118777  0.06395818 -0.06817011], [ 0.09157255  0.12483095 -0.04550168]
16, [ 0.03118777  0.06395818 -0.06817011], [ 0.09157255  0.12483095 -0.04550168]
17, [ 0.03118777  0.06395818 -0.06817011], [ 0.09157255  0.12483095 -0.04550168]
18, [ 0.03118777  0.06395818 -0.06817011], [ 0.09157255  0.12483095 -0.04550168]
19, [ 0.03118777  0.06395818 -0.06817011], [ 0.09157255  0.12483095 -0.04550168]
20, [ 0.03118777  0.06395818 -0.06817011], [ 0.09157255  0.12483095 -0.04550168]
21, [ 0.03118777  0.06395818 -0.06817011], [ 0.09157255  0.12483095 -0.04550168]
22, [ 0.03118777  0.06395818 -0.06817011], [ 0.09157255  0.12483095 -0.04550168]
23, [ 0.03118777  0.06395818 -0.06817011], [ 0.09157255  0.12483095 -0.04550168]
24, [ 0.02872514  0.07044826 -0.06087068], [ 0.08761149  0.13127697 -0.02377263]
25, [ 0.03133692  0.06309119 -0.07000445], [ 0.05211923  0.12350935 -0.04081543]
26, [ 0.03133692  0.06309119 -0.07000445], [ 0.05211923  0.12350935 -0.04081543]
27, [ 0.03133692  0.06309119 -0.07000445], [ 0.05211923  0.12350935 -0.04081543]
28, [ 0.03133692  0.06309119 -0.07000445], [ 0.05211923  0.12350935 -0.04081543]
29, [ 0.03133692  0.06309119 -0.07000445], [ 0.05211923  0.12350935 -0.04081543]
30, [ 0.03165199  0.06220865 -0.07093472], [-1.46808969 -0.60606714  0.05104429]
31, [ 0.03118777  0.06395818 -0.06817011], [ 0.09157255  0.12483095 -0.04550168]
32, [ 0.03118777  0.06395818 -0.06817011], [ 0.09157255  0.12483095 -0.04550168]
33, [ 0.03118777  0.06395818 -0.06817011], [ 0.09157255  0.12483095 -0.04550168]
34, [ 0.03118777  0.06395818 -0.06817011], [ 0.09157255  0.12483095 -0.04550168]
35, [ 0.03118777  0.06395818 -0.06817011], [ 0.09157255  0.12483095 -0.04550168]
36, [ 0.03118777  0.06395818 -0.06817011], [ 0.09157255  0.12483095 -0.04550168]
37, [ 0.03165199  0.06220865 -0.07093472], [-1.46808969 -0.60606714  0.05104429]
38, [ 0.03118777  0.06395818 -0.06817011], [ 0.09157255  0.12483095 -0.04550168]
39, [ 0.03118777  0.06395818 -0.06817011], [ 0.09157255  0.12483095 -0.04550168]
40, [ 0.03118777  0.06395818 -0.06817011], [ 0.09157255  0.12483095 -0.04550168]
41, [ 0.03118777  0.06395818 -0.06817011], [ 0.09157255  0.12483095 -0.04550168]
42, [ 0.03118777  0.06395818 -0.06817011], [ 0.09157255  0.12483095 -0.04550168]
43, [ 0.03165199  0.06220865 -0.07093472], [-1.46808969 -0.60606714  0.05104429]
44, [ 0.03165199  0.06220865 -0.07093472], [-1.46808969 -0.60606714  0.05104429]
45, [ 0.03165199  0.06220865 -0.07093472], [-1.46808969 -0.60606714  0.05104429]
46, [ 0.03165199  0.06220865 -0.07093472], [-1.46808969 -0.60606714  0.05104429]
47, [ 0.03165199  0.06220865 -0.07093472], [-1.46808969 -0.60606714  0.05104429]
48, [ 0.03165199  0.06220865 -0.07093472], [-1.46808969 -0.60606714  0.05104429]
49, [ 0.03165199  0.06220865 -0.07093472], [-1.46808969 -0.60606714  0.05104429]
50, [ 0.03165199  0.06220865 -0.07093472], [-1.46808969 -0.60606714  0.05104429]
51, [ 0.03118777  0.06395818 -0.06817011], [ 0.09157255  0.12483095 -0.04550168]
52, [ 0.03118777  0.06395818 -0.06817011], [ 0.09157255  0.12483095 -0.04550168]
53, [ 0.03118777  0.06395818 -0.06817011], [ 0.09157255  0.12483095 -0.04550168]
54, [ 0.03118777  0.06395818 -0.06817011], [ 0.09157255  0.12483095 -0.04550168]
55, [ 0.03118777  0.06395818 -0.06817011], [ 0.09157255  0.12483095 -0.04550168]
56, [ 0.03118777  0.06395818 -0.06817011], [ 0.09157255  0.12483095 -0.04550168]
57, [ 0.03118777  0.06395818 -0.06817011], [ 0.09157255  0.12483095 -0.04550168]
58, [ 0.03118777  0.06395818 -0.06817011], [ 0.09157255  0.12483095 -0.04550168]
59, [ 0.03118777  0.06395818 -0.06817011], [ 0.09157255  0.12483095 -0.04550168]
60, [ 0.03118777  0.06395818 -0.06817011], [ 0.09157255  0.12483095 -0.04550168]
61, [ 0.03118777  0.06395818 -0.06817011], [ 0.09157255  0.12483095 -0.04550168]
62, [ 0.03118777  0.06395818 -0.06817011], [ 0.09157255  0.12483095 -0.04550168]
63, [ 0.03118777  0.06395818 -0.06817011], [ 0.09157255  0.12483095 -0.04550168]
64, [ 0.03118777  0.06395818 -0.06817011], [ 0.09157255  0.12483095 -0.04550168]
