frame index, translation vector, rotation vector
1, [-0.11560843 -0.07687539 -0.06381058], [ 0.03307036  0.12752897 -0.04695743]
2, [-0.11560843 -0.07687539 -0.06381058], [ 0.03307036  0.12752897 -0.04695743]
3, [-0.11560843 -0.07687539 -0.06381058], [ 0.03307036  0.12752897 -0.04695743]
4, [-0.11560843 -0.07687539 -0.06381058], [ 0.03307036  0.12752897 -0.04695743]
5, [-0.11560843 -0.07687539 -0.06381058], [ 0.03307036  0.12752897 -0.04695743]
6, [-0.11560843 -0.07687539 -0.06381058], [ 0.03307036  0.12752897 -0.04695743]
7, [-0.11560843 -0.07687539 -0.06381058], [ 0.03307036  0.12752897 -0.04695743]
8, [-0.11560843 -0.07687539 -0.06381058], [ 0.03307036  0.12752897 -0.04695743]
9, [-0.11560843 -0.07687539 -0.06381058], [ 0.03307036  0.12752897 -0.04695743]
10, [-0.11560843 -0.07687539 -0.06381058], [ 0.03307036  0.12752897 -0.04695743]
11, [-0.11560843 -0.07687539 -0.06381058], [ 0.03307036  0.12752897 -0.04695743]
12, [-0.11560843 -0.07687539 -0.06381058], [ 0.03307036  0.12752897 -0.04695743]
13, [-0.11560843 -0.07687539 -0.06381058], [ 0.03307036  0.12752897 -0.04695743]
14, [-0.11720438 -0.06616718 -0.05343549], [ 0.06871509  0.13868812 -0.03263521]
15, [-0.11720438 -0.06616718 -0.05343549], [ 0.06871509  0.13868812 -0.03263521]
16, [-0.11720438 -0.06616718 -0.05343549], [ 0.06871509  0.13868812 -0.03263521]
17, [-0.11720438 -0.06616718 -0.05343549], [ 0.06871509  0.13868812 -0.03263521]
18, [-0.11720438 -0.06616718 -0.05343549], [ 0.06871509  0.13868812 -0.03263521]
19, [-0.11720438 -0.06616718 -0.05343549], [ 0.06871509  0.13868812 -0.03263521]
20, [-0.11720438 -0.06616718 -0.05343549], [ 0.06871509  0.13868812 -0.03263521]
21, [-0.11720438 -0.06616718 -0.05343549], [ 0.06871509  0.13868812 -0.03263521]
22, [-0.11720438 -0.06616718 -0.05343549], [ 0.06871509  0.13868812 -0.03263521]
23, [-0.11720438 -0.06616718 -0.05343549], [ 0.06871509  0.13868812 -0.03263521]
24, [-0.11560843 -0.07687539 -0.06381058], [ 0.03307036  0.12752897 -0.04695743]
25, [-0.11560843 -0.07687539 -0.06381058], [ 0.03307036  0.12752897 -0.04695743]
26, [-0.11640847 -0.07286783 -0.0604129 ], [-1.58922916 -0.38671768  0.03752114]
27, [-0.1139229  -0.08869416 -0.07572317], [ 0.01543249  0.13902368 -0.06536627]
28, [-0.1139229  -0.08869416 -0.07572317], [ 0.01543249  0.13902368 -0.06536627]
29, [-0.1139229  -0.08869416 -0.07572317], [ 0.01543249  0.13902368 -0.06536627]
30, [-0.1139229  -0.08869416 -0.07572317], [ 0.01543249  0.13902368 -0.06536627]
31, [-0.11581347 -0.07867052 -0.06486995], [ 0.0524125   0.14887704 -0.05013656]
32, [-0.11581347 -0.07867052 -0.06486995], [ 0.0524125   0.14887704 -0.05013656]
33, [-0.11581347 -0.07867052 -0.06486995], [ 0.0524125   0.14887704 -0.05013656]
34, [-0.11581347 -0.07867052 -0.06486995], [ 0.0524125   0.14887704 -0.05013656]
35, [-0.11581347 -0.07867052 -0.06486995], [ 0.0524125   0.14887704 -0.05013656]
36, [-0.11581347 -0.07867052 -0.06486995], [ 0.0524125   0.14887704 -0.05013656]
37, [-0.11581347 -0.07867052 -0.06486995], [ 0.0524125   0.14887704 -0.05013656]
