frame index, translation vector, rotation vector
1, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
2, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
3, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
4, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
5, [-0.05669899 -0.03650936 -0.0699869 ], [-0.6675956  -1.51649948  0.0175486 ]
6, [-0.05669899 -0.03650936 -0.0699869 ], [-0.6675956  -1.51649948  0.0175486 ]
7, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
8, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
9, [-0.04222466 -0.04227606 -0.0836075 ], [0.04807097 0.02207627 0.01906585]
10, [-0.04222466 -0.04227606 -0.0836075 ], [0.04807097 0.02207627 0.01906585]
11, [-0.05184869 -0.03878057 -0.0738954 ], [ 0.03295811  0.03472091 -0.0011871 ]
12, [-0.05184869 -0.03878057 -0.0738954 ], [ 0.03295811  0.03472091 -0.0011871 ]
13, [-0.05184869 -0.03878057 -0.0738954 ], [ 0.03295811  0.03472091 -0.0011871 ]
14, [-0.05184869 -0.03878057 -0.0738954 ], [ 0.03295811  0.03472091 -0.0011871 ]
15, [-0.05184869 -0.03878057 -0.0738954 ], [ 0.03295811  0.03472091 -0.0011871 ]
16, [-0.05184869 -0.03878057 -0.0738954 ], [ 0.03295811  0.03472091 -0.0011871 ]
17, [-0.05184869 -0.03878057 -0.0738954 ], [ 0.03295811  0.03472091 -0.0011871 ]
18, [-0.05184869 -0.03878057 -0.0738954 ], [ 0.03295811  0.03472091 -0.0011871 ]
19, [-0.05184869 -0.03878057 -0.0738954 ], [ 0.03295811  0.03472091 -0.0011871 ]
20, [-0.07574919 -0.02892399 -0.05011199], [-0.63306278 -1.57347309  0.00727857]
21, [-0.07574919 -0.02892399 -0.05011199], [-0.63306278 -1.57347309  0.00727857]
22, [-0.07574919 -0.02892399 -0.05011199], [-0.63306278 -1.57347309  0.00727857]
23, [-0.07574919 -0.02892399 -0.05011199], [-0.63306278 -1.57347309  0.00727857]
24, [-0.06568912 -0.03259144 -0.06027   ], [-0.65857384 -1.55583984  0.00805049]
25, [-0.06568912 -0.03259144 -0.06027   ], [-0.65857384 -1.55583984  0.00805049]
26, [-0.06568912 -0.03259144 -0.06027   ], [-0.65857384 -1.55583984  0.00805049]
27, [-0.07574919 -0.02892399 -0.05011199], [-0.63306278 -1.57347309  0.00727857]
28, [-0.07574919 -0.02892399 -0.05011199], [-0.63306278 -1.57347309  0.00727857]
29, [-0.07604231 -0.02879952 -0.049392  ], [-0.64711336 -1.55661921 -0.01444294]
30, [-0.07604231 -0.02879952 -0.049392  ], [-0.64711336 -1.55661921 -0.01444294]
31, [-0.06625585 -0.03304495 -0.05960867], [0.04170867 0.01438267 0.0285414 ]
32, [-0.06625585 -0.03304495 -0.05960867], [0.04170867 0.01438267 0.0285414 ]
33, [-0.06625585 -0.03304495 -0.05960867], [0.04170867 0.01438267 0.0285414 ]
34, [-0.06625585 -0.03304495 -0.05960867], [0.04170867 0.01438267 0.0285414 ]
35, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
36, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
37, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
38, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
39, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
40, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
41, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
42, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
43, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
44, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
45, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
46, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
47, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
48, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
49, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
50, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
51, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
52, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
53, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
54, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
55, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
56, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
57, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
58, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
59, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
60, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
61, [-0.06625585 -0.03304495 -0.05960867], [0.04170867 0.01438267 0.0285414 ]
62, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
63, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
64, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
65, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
66, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
67, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
68, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
69, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
70, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
71, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
72, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
73, [-0.06623718 -0.03305    -0.06035866], [-0.64104841 -1.53488477  0.01725668]
