frame index, translation vector, rotation vector
1, [0 0 0], [0 0 0]
2, [-2.22044605e-16  5.55111512e-17 -2.22044605e-16], [0. 0. 0.]
3, [-2.22044605e-16  5.55111512e-17 -2.22044605e-16], [0. 0. 0.]
4, [-2.22044605e-16  5.55111512e-17 -2.22044605e-16], [0. 0. 0.]
5, [ 2.19496770e-05 -1.15730338e-05 -4.26107167e-04], [ 0.00901333 -0.00897678 -0.00014686]
6, [ 2.19496770e-05 -1.15730338e-05 -4.26107167e-04], [ 0.00901333 -0.00897678 -0.00014686]
7, [ 2.19496770e-05 -1.15730338e-05 -4.26107167e-04], [ 0.00901333 -0.00897678 -0.00014686]
8, [ 2.19496770e-05 -1.15730338e-05 -4.26107167e-04], [ 0.00901333 -0.00897678 -0.00014686]
9, [ 2.19496770e-05 -1.15730338e-05 -4.26107167e-04], [ 0.00901333 -0.00897678 -0.00014686]
10, [ 2.19496770e-05 -1.15730338e-05 -4.26107167e-04], [ 0.00901333 -0.00897678 -0.00014686]
11, [-2.22044605e-16  5.55111512e-17 -2.22044605e-16], [0. 0. 0.]
12, [-2.22044605e-16  5.55111512e-17 -2.22044605e-16], [0. 0. 0.]
13, [-2.22044605e-16  5.55111512e-17 -2.22044605e-16], [0. 0. 0.]
14, [-2.22044605e-16  5.55111512e-17 -2.22044605e-16], [0. 0. 0.]
15, [-2.22044605e-16  5.55111512e-17 -2.22044605e-16], [0. 0. 0.]
16, [-2.22044605e-16  5.55111512e-17 -2.22044605e-16], [0. 0. 0.]
17, [-2.22044605e-16  5.55111512e-17 -2.22044605e-16], [0. 0. 0.]
18, [-2.22044605e-16  5.55111512e-17 -2.22044605e-16], [0. 0. 0.]
19, [-2.22044605e-16  5.55111512e-17 -2.22044605e-16], [0. 0. 0.]
20, [-2.22044605e-16  5.55111512e-17 -2.22044605e-16], [0. 0. 0.]
21, [-2.22044605e-16  5.55111512e-17 -2.22044605e-16], [0. 0. 0.]
22, [-2.22044605e-16  5.55111512e-17 -2.22044605e-16], [0. 0. 0.]
23, [-0.00510031  0.00146712  0.00459664], [-0.00577713  0.00572183 -0.0087128 ]
24, [-0.00510031  0.00146712  0.00459664], [-0.00577713  0.00572183 -0.0087128 ]
25, [-0.00510031  0.00146712  0.00459664], [-0.00577713  0.00572183 -0.0087128 ]
26, [-0.00510031  0.00146712  0.00459664], [-0.00577713  0.00572183 -0.0087128 ]
27, [-0.00510031  0.00146712  0.00459664], [-0.00577713  0.00572183 -0.0087128 ]
28, [-0.00510031  0.00146712  0.00459664], [-0.00577713  0.00572183 -0.0087128 ]
29, [-0.00510031  0.00146712  0.00459664], [-0.00577713  0.00572183 -0.0087128 ]
30, [-0.00510031  0.00146712  0.00459664], [-0.00577713  0.00572183 -0.0087128 ]
31, [-0.00510031  0.00146712  0.00459664], [-0.00577713  0.00572183 -0.0087128 ]
32, [-0.00510031  0.00146712  0.00459664], [-0.00577713  0.00572183 -0.0087128 ]
33, [-0.00510031  0.00146712  0.00459664], [-0.00577713  0.00572183 -0.0087128 ]
34, [-0.00510031  0.00146712  0.00459664], [-0.00577713  0.00572183 -0.0087128 ]
35, [-0.00510031  0.00146712  0.00459664], [-0.00577713  0.00572183 -0.0087128 ]
36, [-0.00510031  0.00146712  0.00459664], [-0.00577713  0.00572183 -0.0087128 ]
37, [ 0.00513218 -0.00213213 -0.00523286], [-0.00294389 -0.01546972  0.00898461]
38, [ 0.00513218 -0.00213213 -0.00523286], [-0.00294389 -0.01546972  0.00898461]
39, [ 0.00010797 -0.00069158 -0.00070451], [-0.00892114 -0.0096053   0.00013715]
40, [-0.00510031  0.00146712  0.00459664], [-0.00577713  0.00572183 -0.0087128 ]
41, [-0.01602478  0.00466554  0.01647254], [-0.06527206 -0.02641213 -0.02851015]
42, [-0.01602478  0.00466554  0.01647254], [-0.06527206 -0.02641213 -0.02851015]
43, [-0.01602478  0.00466554  0.01647254], [-0.06527206 -0.02641213 -0.02851015]
44, [-0.01602478  0.00466554  0.01647254], [-0.06527206 -0.02641213 -0.02851015]
45, [-0.01602478  0.00466554  0.01647254], [-0.06527206 -0.02641213 -0.02851015]
46, [-0.01602478  0.00466554  0.01647254], [-0.06527206 -0.02641213 -0.02851015]
47, [-0.01602478  0.00466554  0.01647254], [-0.06527206 -0.02641213 -0.02851015]
48, [-0.00510031  0.00146712  0.00459664], [-0.00577713  0.00572183 -0.0087128 ]
49, [-0.00510031  0.00146712  0.00459664], [-0.00577713  0.00572183 -0.0087128 ]
50, [-0.00510031  0.00146712  0.00459664], [-0.00577713  0.00572183 -0.0087128 ]
51, [-0.00510031  0.00146712  0.00459664], [-0.00577713  0.00572183 -0.0087128 ]
52, [-0.00510031  0.00146712  0.00459664], [-0.00577713  0.00572183 -0.0087128 ]
53, [-0.00510031  0.00146712  0.00459664], [-0.00577713  0.00572183 -0.0087128 ]
54, [-0.00510031  0.00146712  0.00459664], [-0.00577713  0.00572183 -0.0087128 ]
