frame index, translation vector, rotation vector
1, [ 0.19742241 -0.10234718 -0.11369182], [0.11524109 0.0326381  0.07047408]
2, [ 0.19742241 -0.10234718 -0.11369182], [0.11524109 0.0326381  0.07047408]
7, [ 0.19738311 -0.10193369 -0.11439879], [0.11565046 0.03260338 0.0707777 ]
8, [ 0.19738311 -0.10193369 -0.11439879], [0.11565046 0.03260338 0.0707777 ]
11, [ 0.21244361 -0.1236693  -0.13789878], [0.09596576 0.0752647  0.0182797 ]
12, [ 0.20003942 -0.10400033 -0.11633685], [0.08375154 0.08072985 0.04448911]
15, [ 0.18294596 -0.07929141 -0.08909689], [0.1287442  0.05911709 0.10248274]
16, [ 0.19012134 -0.09107567 -0.10162367], [0.11994835 0.07925842 0.07756295]
17, [ 0.17563646 -0.06945738 -0.07837112], [0.1789762  0.03882315 0.06748373]
18, [ 0.19227968 -0.09351028 -0.10489801], [0.13518835 0.05729272 0.01041343]
19, [ 0.21246153 -0.12405539 -0.13714494], [0.09553355 0.07531677 0.01796841]
22, [ 0.20514006 -0.11258692 -0.12544189], [0.07572354 0.10267338 0.01857534]
25, [ 0.21016269 -0.11958325 -0.13304055], [ 0.06789914  0.125269   -0.00782984]
26, [ 0.20514006 -0.11258692 -0.12544189], [0.07572354 0.10267338 0.01857534]
27, [ 0.20514006 -0.11258692 -0.12544189], [0.07572354 0.10267338 0.01857534]
28, [ 0.20514006 -0.11258692 -0.12544189], [0.07572354 0.10267338 0.01857534]
29, [ 0.20514006 -0.11258692 -0.12544189], [0.07572354 0.10267338 0.01857534]
30, [ 0.20514006 -0.11258692 -0.12544189], [0.07572354 0.10267338 0.01857534]
34, [ 0.20514006 -0.11258692 -0.12544189], [0.07572354 0.10267338 0.01857534]
35, [ 0.21093434 -0.12227473 -0.13571721], [0.12691326 0.02703071 0.04418717]
36, [ 0.21246153 -0.12405539 -0.13714494], [0.09553355 0.07531677 0.01796841]
38, [ 0.20237658 -0.11052887 -0.12071988], [0.13720312 0.00649891 0.0702703 ]
40, [ 0.21126638 -0.12350248 -0.13470047], [0.12636184 0.02676674 0.04408154]
41, [ 0.1789613  -0.07260388 -0.08146899], [0.14964138 0.08180841 0.0441522 ]
42, [ 0.19744111 -0.10163333 -0.1130313 ], [0.11113144 0.1001518  0.05203969]
43, [ 0.19744111 -0.10163333 -0.1130313 ], [0.11113144 0.1001518  0.05203969]
44, [ 0.19744111 -0.10163333 -0.1130313 ], [0.11113144 0.1001518  0.05203969]
45, [ 0.21016269 -0.11958325 -0.13304055], [ 0.06789914  0.125269   -0.00782984]
46, [ 0.20514006 -0.11258692 -0.12544189], [0.07572354 0.10267338 0.01857534]
47, [ 0.20514006 -0.11258692 -0.12544189], [0.07572354 0.10267338 0.01857534]
48, [ 0.20514006 -0.11258692 -0.12544189], [0.07572354 0.10267338 0.01857534]
49, [ 0.20514006 -0.11258692 -0.12544189], [0.07572354 0.10267338 0.01857534]
50, [ 0.20514006 -0.11258692 -0.12544189], [0.07572354 0.10267338 0.01857534]
51, [ 0.20514006 -0.11258692 -0.12544189], [0.07572354 0.10267338 0.01857534]
52, [ 0.21016269 -0.11958325 -0.13304055], [ 0.06789914  0.125269   -0.00782984]
54, [ 0.21126638 -0.12350248 -0.13470047], [0.12636184 0.02676674 0.04408154]
55, [ 0.21126638 -0.12350248 -0.13470047], [0.12636184 0.02676674 0.04408154]
56, [ 0.21126638 -0.12350248 -0.13470047], [0.12636184 0.02676674 0.04408154]
57, [ 0.21126638 -0.12350248 -0.13470047], [0.12636184 0.02676674 0.04408154]
58, [ 0.21126638 -0.12350248 -0.13470047], [0.12636184 0.02676674 0.04408154]
59, [ 0.21126638 -0.12350248 -0.13470047], [0.12636184 0.02676674 0.04408154]
60, [ 0.21126638 -0.12350248 -0.13470047], [0.12636184 0.02676674 0.04408154]
61, [ 0.18684416 -0.08385529 -0.09418062], [0.11548316 0.08269903 0.01193301]
62, [ 0.21126638 -0.12350248 -0.13470047], [0.12636184 0.02676674 0.04408154]
63, [ 0.21126638 -0.12350248 -0.13470047], [0.12636184 0.02676674 0.04408154]
65, [ 0.18007514 -0.07324845 -0.08338412], [0.09633159 0.10886504 0.01287937]
66, [ 0.20514006 -0.11258692 -0.12544189], [0.07572354 0.10267338 0.01857534]
67, [ 0.17240296 -0.06411799 -0.0737714 ], [0.13355093 0.04269441 0.06233559]
69, [ 0.21093434 -0.12227473 -0.13571721], [0.12691326 0.02703071 0.04418717]
70, [ 0.21244361 -0.1236693  -0.13789878], [0.09596576 0.0752647  0.0182797 ]
72, [ 0.21978393 -0.13476985 -0.14813499], [ 0.0582459   0.07792603 -0.01607884]
73, [ 0.18684416 -0.08385529 -0.09418062], [0.11548316 0.08269903 0.01193301]
74, [ 0.18684416 -0.08385529 -0.09418062], [0.11548316 0.08269903 0.01193301]
75, [ 0.21978393 -0.13476985 -0.14813499], [ 0.0582459   0.07792603 -0.01607884]
76, [ 0.21978393 -0.13476985 -0.14813499], [ 0.0582459   0.07792603 -0.01607884]
77, [ 0.18684416 -0.08385529 -0.09418062], [0.11548316 0.08269903 0.01193301]
78, [ 0.18684416 -0.08385529 -0.09418062], [0.11548316 0.08269903 0.01193301]
79, [ 0.18007514 -0.07324845 -0.08338412], [0.09633159 0.10886504 0.01287937]
81, [ 0.18682079 -0.08347044 -0.09490406], [0.11592005 0.08268005 0.01223488]
82, [ 0.19236724 -0.09163405 -0.10261293], [ 0.10731261  0.10377014 -0.01391666]
84, [ 0.21016269 -0.11958325 -0.13304055], [ 0.06789914  0.125269   -0.00782984]
85, [ 0.20514006 -0.11258692 -0.12544189], [0.07572354 0.10267338 0.01857534]
86, [ 0.21015642 -0.12327144 -0.13425493], [0.12702835 0.02655243 0.04435675]
88, [ 0.20514006 -0.11258692 -0.12544189], [0.07572354 0.10267338 0.01857534]
89, [ 0.21244361 -0.1236693  -0.13789878], [0.09596576 0.0752647  0.0182797 ]
90, [ 0.20514006 -0.11258692 -0.12544189], [0.07572354 0.10267338 0.01857534]
91, [ 0.21015642 -0.12327144 -0.13425493], [0.12702835 0.02655243 0.04435675]
92, [ 0.20237658 -0.11052887 -0.12071988], [0.13720312 0.00649891 0.0702703 ]
93, [ 0.20237658 -0.11052887 -0.12071988], [0.13720312 0.00649891 0.0702703 ]
94, [ 0.20237658 -0.11052887 -0.12071988], [0.13720312 0.00649891 0.0702703 ]
97, [ 0.21015642 -0.12327144 -0.13425493], [0.12702835 0.02655243 0.04435675]
98, [ 0.21015642 -0.12327144 -0.13425493], [0.12702835 0.02655243 0.04435675]
99, [ 0.21015642 -0.12327144 -0.13425493], [0.12702835 0.02655243 0.04435675]
100, [ 0.21015642 -0.12327144 -0.13425493], [0.12702835 0.02655243 0.04435675]
101, [ 0.21015642 -0.12327144 -0.13425493], [0.12702835 0.02655243 0.04435675]
103, [ 0.20514006 -0.11258692 -0.12544189], [0.07572354 0.10267338 0.01857534]
104, [ 0.20514006 -0.11258692 -0.12544189], [0.07572354 0.10267338 0.01857534]
105, [ 0.20514006 -0.11258692 -0.12544189], [0.07572354 0.10267338 0.01857534]
106, [ 0.21244361 -0.1236693  -0.13789878], [0.09596576 0.0752647  0.0182797 ]
107, [ 0.21093434 -0.12227473 -0.13571721], [0.12691326 0.02703071 0.04418717]
108, [ 0.21246153 -0.12405539 -0.13714494], [0.09553355 0.07531677 0.01796841]
109, [ 0.21015642 -0.12327144 -0.13425493], [0.12702835 0.02655243 0.04435675]
110, [ 0.21277897 -0.12490308 -0.13688552], [0.09542249 0.07498809 0.01815642]
111, [ 0.21277897 -0.12490308 -0.13688552], [0.09542249 0.07498809 0.01815642]
112, [ 0.21277897 -0.12490308 -0.13688552], [0.09542249 0.07498809 0.01815642]
113, [ 0.2190911  -0.13482087 -0.14691191], [0.11615755 0.04779729 0.0174727 ]
114, [ 0.21126638 -0.12350248 -0.13470047], [0.12636184 0.02676674 0.04408154]
116, [ 0.21016269 -0.11958325 -0.13304055], [ 0.06789914  0.125269   -0.00782984]
117, [ 0.21016269 -0.11958325 -0.13304055], [ 0.06789914  0.125269   -0.00782984]
118, [ 0.21016269 -0.11958325 -0.13304055], [ 0.06789914  0.125269   -0.00782984]
125, [ 0.20073959 -0.10746983 -0.11917911], [0.16289344 0.02868044 0.07636057]
126, [ 0.21244361 -0.1236693  -0.13789878], [0.09596576 0.0752647  0.0182797 ]
128, [ 0.20545573 -0.1136431  -0.12705008], [0.10544427 0.05360271 0.04470671]
129, [ 0.19738311 -0.10193369 -0.11439879], [0.11565046 0.03260338 0.0707777 ]
133, [ 0.19738311 -0.10193369 -0.11439879], [0.11565046 0.03260338 0.0707777 ]
135, [ 0.19235436 -0.09126332 -0.10335782], [ 0.10775911  0.10374479 -0.01361269]
136, [ 0.19235436 -0.09126332 -0.10335782], [ 0.10775911  0.10374479 -0.01361269]
144, [ 0.20545573 -0.1136431  -0.12705008], [0.10544427 0.05360271 0.04470671]
146, [ 0.20545573 -0.1136431  -0.12705008], [0.10544427 0.05360271 0.04470671]
147, [ 0.20545573 -0.1136431  -0.12705008], [0.10544427 0.05360271 0.04470671]
148, [ 0.19849692 -0.10218982 -0.11486972], [0.11495842 0.0327929  0.07051735]
149, [ 0.20653415 -0.11383249 -0.12745111], [0.10477676 0.05382679 0.04442482]
150, [ 0.18682079 -0.08347044 -0.09490406], [0.11592005 0.08268005 0.01223488]
151, [ 0.21244361 -0.1236693  -0.13789878], [0.09596576 0.0752647  0.0182797 ]
152, [ 0.19092987 -0.08889541 -0.10139193], [ 0.13429298  0.12238299 -0.00650908]
153, [ 0.19092987 -0.08889541 -0.10139193], [ 0.13429298  0.12238299 -0.00650908]
154, [ 0.19092987 -0.08889541 -0.10139193], [ 0.13429298  0.12238299 -0.00650908]
155, [ 0.21244361 -0.1236693  -0.13789878], [0.09596576 0.0752647  0.0182797 ]
156, [ 0.18627166 -0.08101059 -0.09303045], [0.14136565 0.10224791 0.01873559]
157, [ 0.19235436 -0.09126332 -0.10335782], [ 0.10775911  0.10374479 -0.01361269]
158, [ 0.19235436 -0.09126332 -0.10335782], [ 0.10775911  0.10374479 -0.01361269]
159, [ 0.19235436 -0.09126332 -0.10335782], [ 0.10775911  0.10374479 -0.01361269]
160, [ 0.19235436 -0.09126332 -0.10335782], [ 0.10775911  0.10374479 -0.01361269]
161, [ 0.21370817 -0.12358065 -0.13976365], [ 0.06151522  0.14844753 -0.03420591]
162, [ 0.21876812 -0.13117427 -0.14624659], [ 0.08799384  0.09678169 -0.0076146 ]
163, [ 0.18455704 -0.07873254 -0.09162604], [ 0.08945198  0.13058513 -0.01255956]
164, [ 0.19092987 -0.08889541 -0.10139193], [ 0.13429298  0.12238299 -0.00650908]
165, [ 0.19235436 -0.09126332 -0.10335782], [ 0.10775911  0.10374479 -0.01361269]
166, [ 0.21876812 -0.13117427 -0.14624659], [ 0.08799384  0.09678169 -0.0076146 ]
167, [ 0.21876812 -0.13117427 -0.14624659], [ 0.08799384  0.09678169 -0.0076146 ]
168, [ 0.19683594 -0.09742995 -0.11006915], [ 0.10035694  0.12518268 -0.03963955]
169, [ 0.22201558 -0.13840892 -0.1537034 ], [ 0.0800557   0.11977848 -0.03496859]
170, [ 0.19235436 -0.09126332 -0.10335782], [ 0.10775911  0.10374479 -0.01361269]
171, [ 0.19235436 -0.09126332 -0.10335782], [ 0.10775911  0.10374479 -0.01361269]
172, [ 0.19298616 -0.09079679 -0.10326389], [-1.51097341 -1.0221322   0.01376748]
173, [ 0.19915994 -0.10245784 -0.11305265], [0.11518598 0.03194654 0.07115795]
174, [ 0.21829121 -0.13192939 -0.14685563], [ 0.08729432  0.09746855 -0.00841645]
178, [ 0.19904063 -0.10084012 -0.11593164], [ 0.09478067  0.14687026 -0.06529914]
182, [ 0.20077464 -0.1121281  -0.12521678], [0.13177182 0.07520633 0.05033809]
183, [ 0.22090651 -0.13535612 -0.14553609], [0.11570859 0.04712671 0.0178507 ]
184, [ 0.22737813 -0.14363936 -0.15745073], [ 0.07269189  0.14193491 -0.0615909 ]
185, [ 0.21579668 -0.13499074 -0.14864235], [0.11650879 0.04886665 0.01660331]
187, [ 0.22553558 -0.14344086 -0.15801754], [ 0.07266134  0.14271403 -0.06224731]
188, [ 0.20946427 -0.12297031 -0.13606461], [0.12681843 0.02742685 0.04369529]
189, [ 0.22010324 -0.13246126 -0.14547768], [ 0.08685207  0.09677738 -0.0080597 ]
190, [ 0.2026865  -0.10954661 -0.12208469], [ 0.11875512  0.09873062 -0.04167145]
191, [ 0.22235706 -0.1396593  -0.15268456], [ 0.07952234  0.11948283 -0.03510694]
192, [ 0.21862975 -0.13317215 -0.14583864], [ 0.0867561   0.09718241 -0.00854728]
193, [ 0.20979639 -0.12419822 -0.13504797], [0.12626709 0.02716247 0.0435898 ]
194, [ 0.18571978 -0.08535541 -0.0942644 ], [0.11528272 0.08280057 0.011617  ]
195, [ 0.2190911  -0.13482087 -0.14691191], [0.11615755 0.04779729 0.0174727 ]
196, [ 0.24329919 -0.17329128 -0.18908043], [0.0944309  0.11016476 0.00481252]
197, [ 0.21126638 -0.12350248 -0.13470047], [0.12636184 0.02676674 0.04408154]
198, [ 0.2318928  -0.15529823 -0.16872583], [0.05307318 0.09572871 0.02434446]
200, [ 0.21142253 -0.12334834 -0.13347597], [0.12203273 0.09478713 0.0250344 ]
201, [ 0.21142253 -0.12334834 -0.13347597], [0.12203273 0.09478713 0.0250344 ]
202, [ 0.20611954 -0.11609009 -0.12503384], [0.10434799 0.05306858 0.04447506]
203, [ 0.20611954 -0.11609009 -0.12503384], [0.10434799 0.05306858 0.04447506]
204, [ 0.19572927 -0.09934187 -0.10943183], [ 0.09972546  0.1252886  -0.04027196]
205, [ 0.22152455 -0.13989249 -0.15293656], [-1.47781417 -1.04620907  0.02183316]
206, [ 0.21642599 -0.13180465 -0.1424198 ], [ 0.11450293  0.11592844 -0.00100964]
207, [ 0.19142042 -0.09306074 -0.10156433], [0.16029908 0.07682106 0.01683456]
208, [ 0.22269858 -0.14090975 -0.15166575], [ 0.0789894   0.1191872  -0.03524518]
209, [ 0.21311437 -0.12613691 -0.1358723 ], [0.09487965 0.07471152 0.01803324]
211, [ 0.21715661 -0.13388374 -0.14620036], [ 0.08665976  0.09758745 -0.00903491]
212, [ 0.19015565 -0.09199904 -0.09976594], [ 0.13311876  0.12220379 -0.00728053]
217, [ 0.19124992 -0.09316286 -0.102719  ], [ 0.10712466  0.103858   -0.01423765]
222, [ 0.22010324 -0.13246126 -0.14547768], [ 0.08685207  0.09677738 -0.0080597 ]
232, [ 0.34487941 -0.32815846 -0.35832682], [ 0.15090238  0.11999824 -0.05786246]
234, [ 0.18526678 -0.08090261 -0.09272083], [0.14192914 0.10201277 0.019015  ]
236, [ 0.18526678 -0.08090261 -0.09272083], [0.14192914 0.10201277 0.019015  ]
239, [ 0.19138897 -0.09122579 -0.10312256], [ 0.10833159  0.10346762 -0.01330426]
246, [ 0.20540676 -0.11575269 -0.12679284], [0.1041371  0.05396133 0.04382058]
251, [ 0.19315082 -0.09174271 -0.10178232], [ 0.10788636  0.10277786 -0.01294115]
255, [ 0.21244361 -0.1236693  -0.13789878], [0.09596576 0.0752647  0.0182797 ]
256, [ 0.19268461 -0.09268311 -0.10420672], [0.135891   0.05665074 0.01120198]
258, [ 0.18559242 -0.08210079 -0.0917365 ], [0.14138089 0.10173269 0.01888769]
259, [ 0.22589325 -0.14232472 -0.15760789], [ 0.10793574  0.06908831 -0.00854751]
260, [ 0.19685296 -0.10000349 -0.11138353], [ 0.15378709  0.09615113 -0.00772699]
261, [ 0.22440643 -0.14303613 -0.15796665], [ 0.10783614  0.06948763 -0.00903811]
262, [ 0.19532149 -0.09871304 -0.10875878], [ 0.10089711  0.12428917 -0.03913982]
263, [ 0.19794946 -0.10151736 -0.11357751], [ 0.12759867  0.0769796  -0.0145634 ]
264, [ 0.19794946 -0.10151736 -0.11357751], [ 0.12759867  0.0769796  -0.0145634 ]
265, [ 0.19591586 -0.09782099 -0.10914537], [ 0.10043946  0.12491424 -0.03962534]
266, [ 0.22929613 -0.15205484 -0.16515356], [ 0.09917259  0.09109179 -0.03600786]
267, [ 0.22929613 -0.15205484 -0.16515356], [ 0.09917259  0.09109179 -0.03600786]
268, [ 0.22929613 -0.15205484 -0.16515356], [ 0.09917259  0.09109179 -0.03600786]
269, [ 0.22929613 -0.15205484 -0.16515356], [ 0.09917259  0.09109179 -0.03600786]
270, [ 0.22929613 -0.15205484 -0.16515356], [ 0.09917259  0.09109179 -0.03600786]
271, [ 0.22499487 -0.14447271 -0.15773829], [ 0.07311458  0.14202194 -0.06174733]
272, [ 0.21608782 -0.13056371 -0.1434346 ], [ 0.11504473  0.11621507 -0.00087563]
273, [ 0.21729541 -0.13188558 -0.14660819], [ 0.08789744  0.09718674 -0.00810228]
274, [ 0.19092088 -0.09195443 -0.10370862], [ 0.10766439  0.10414684 -0.01410683]
275, [ 0.18539366 -0.08415533 -0.09525035], [0.11582738 0.0830803  0.01174065]
276, [ 0.19532149 -0.09871304 -0.10875878], [ 0.10089711  0.12428917 -0.03913982]
277, [ 0.22440643 -0.14303613 -0.15796665], [ 0.10783614  0.06948763 -0.00903811]
279, [ 0.19500048 -0.0965872  -0.10725318], [ 0.12729701  0.14251821 -0.03206826]
280, [ 0.21222764 -0.12368026 -0.13675198], [ 0.08967559  0.16507712 -0.02572953]
281, [ 0.18640216 -0.08460216 -0.09479581], [ 0.10916572  0.16916656 -0.03095026]
282, [ 0.2170855  -0.13061282 -0.14368696], [ 0.1144831   0.11647618 -0.00117307]
283, [ 0.19500048 -0.0965872  -0.10725318], [ 0.12729701  0.14251821 -0.03206826]
284, [ 0.21608782 -0.13056371 -0.1434346 ], [ 0.11504473  0.11621507 -0.00087563]
285, [ 0.19449054 -0.09725591 -0.10777399], [ 0.12670406  0.14319629 -0.03287608]
286, [ 0.17866135 -0.07393273 -0.08373259], [0.09624199 0.10927077 0.01238825]
294, [ 0.21875549 -0.13358203 -0.14793496], [0.11670367 0.04807083 0.01758557]
295, [ 0.18997004 -0.09228875 -0.10273012], [ 0.10779013  0.10389365 -0.01410171]
298, [ 0.19060497 -0.09111677 -0.10395303], [ 0.10775756  0.10446083 -0.01427977]
299, [ 0.18958401 -0.09424376 -0.10338309], [0.1729186  0.01011123 0.10091469]
