frame index, translation vector, rotation vector
1, [0 0 0], [0 0 0]
2, [1.11022302e-16 0.00000000e+00 0.00000000e+00], [0. 0. 0.]
3, [1.11022302e-16 0.00000000e+00 0.00000000e+00], [0. 0. 0.]
4, [1.11022302e-16 0.00000000e+00 0.00000000e+00], [0. 0. 0.]
5, [1.11022302e-16 0.00000000e+00 0.00000000e+00], [0. 0. 0.]
6, [1.11022302e-16 0.00000000e+00 0.00000000e+00], [0. 0. 0.]
7, [-0.00122091  0.00321183  0.00231702], [ 0.02661591 -0.01163786  0.01318965]
8, [ 0.00227261 -0.00448845 -0.00626556], [ 0.01331842 -0.01478774  0.02695424]
9, [ 0.00446749 -0.00921511 -0.0112379 ], [ 0.00820245 -0.00541106  0.01622205]
10, [ 0.00227261 -0.00448845 -0.00626556], [ 0.01331842 -0.01478774  0.02695424]
11, [ 0.0080684  -0.01512278 -0.01712528], [-0.01013782 -0.00538966  0.00314069]
12, [-0.00318444  0.00487801  0.00582361], [ 0.01763133 -0.00057454  0.01314406]
13, [-0.00530548  0.00946208  0.01063773], [ 0.02256534 -0.00972297  0.0237129 ]
14, [-0.00530548  0.00946208  0.01063773], [ 0.02256534 -0.00972297  0.0237129 ]
15, [ 0.00290258 -0.00468398 -0.00456316], [ 0.01384281 -0.01576867  0.02766166]
16, [ 0.00511541 -0.0094397  -0.00956008], [ 0.00871837 -0.00641729  0.01693623]
17, [ 0.00511541 -0.0094397  -0.00956008], [ 0.00871837 -0.00641729  0.01693623]
18, [ 0.00511541 -0.0094397  -0.00956008], [ 0.00871837 -0.00641729  0.01693623]
19, [-0.00318444  0.00487801  0.00582361], [ 0.01763133 -0.00057454  0.01314406]
20, [-0.00318444  0.00487801  0.00582361], [ 0.01763133 -0.00057454  0.01314406]
21, [1.11022302e-16 0.00000000e+00 0.00000000e+00], [0. 0. 0.]
22, [ 0.00572167 -0.01053852 -0.01073425], [ 0.00676175 -0.00539728  0.0157982 ]
23, [-0.00092235  0.00211148  0.00321769], [ 0.02607909 -0.01192908  0.01311145]
24, [-0.00092235  0.00211148  0.00321769], [ 0.02607909 -0.01192908  0.01311145]
25, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
26, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
27, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
28, [ 0.0027313  -0.00418539 -0.00456664], [-0.00567036  0.0099966  -0.01115869]
29, [ 0.0027313  -0.00418539 -0.00456664], [-0.00567036  0.0099966  -0.01115869]
30, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
31, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
32, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
33, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
34, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
35, [1.11022302e-16 0.00000000e+00 0.00000000e+00], [0. 0. 0.]
36, [ 0.0027313  -0.00418539 -0.00456664], [-0.00567036  0.0099966  -0.01115869]
37, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
38, [-0.00092235  0.00211148  0.00321769], [ 0.02607909 -0.01192908  0.01311145]
39, [ 0.00461787 -0.00805304 -0.00712393], [ 0.00322493 -0.00273498 -0.01052593]
40, [-0.00092235  0.00211148  0.00321769], [ 0.02607909 -0.01192908  0.01311145]
41, [-0.00092235  0.00211148  0.00321769], [ 0.02607909 -0.01192908  0.01311145]
42, [-0.00092235  0.00211148  0.00321769], [ 0.02607909 -0.01192908  0.01311145]
43, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
44, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
45, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
46, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
47, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
48, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
49, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
50, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
51, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
52, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
53, [ 0.04832011 -0.08618367 -0.09176666], [ 0.0615183   0.09650498 -0.03322572]
54, [ 0.05060035 -0.09048653 -0.09580239], [ 0.06993321  0.0844326  -0.03356093]
55, [ 0.00893285 -0.01605894 -0.01769689], [0.06662671 0.0473024  0.00563548]
56, [ 0.00893285 -0.01605894 -0.01769689], [0.06662671 0.0473024  0.00563548]
57, [ 0.00893285 -0.01605894 -0.01769689], [0.06662671 0.0473024  0.00563548]
58, [ 0.00031763 -0.00085665  0.00012525], [-0.0002258  -0.00057348  0.00024341]
59, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
60, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
61, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
62, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
63, [ 0.00031763 -0.00085665  0.00012525], [-0.0002258  -0.00057348  0.00024341]
64, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
65, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
66, [ 0.00143629 -0.0024899  -0.00317506], [ 0.00960251 -0.01225709  0.00072112]
67, [ 0.00143629 -0.0024899  -0.00317506], [ 0.00960251 -0.01225709  0.00072112]
68, [ 0.00143629 -0.0024899  -0.00317506], [ 0.00960251 -0.01225709  0.00072112]
69, [-0.00786388  0.01529376  0.01522912], [ 0.01042224  0.00463723 -0.0024192 ]
70, [ 0.00143629 -0.0024899  -0.00317506], [ 0.00960251 -0.01225709  0.00072112]
71, [ 0.00092607 -0.00017457 -0.00036314], [-0.00089781  0.00033642 -0.00035951]
72, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
73, [-0.00814635  0.01539457  0.01687901], [ 0.0218229  0.0137546 -0.0005925]
74, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
75, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
76, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
77, [-0.00092235  0.00211148  0.00321769], [ 0.02607909 -0.01192908  0.01311145]
78, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
79, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
80, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
81, [ 0.0451893  -0.08116674 -0.08686358], [ 0.07797652  0.09549094 -0.01938414]
82, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
83, [ 0.00173663 -0.00359569 -0.00227204], [ 0.0090697  -0.01255255  0.00064203]
84, [-0.00092235  0.00211148  0.00321769], [ 0.02607909 -0.01192908  0.01311145]
85, [-0.00091667  0.00238032  0.0024669 ], [ 0.02638432 -0.01215162  0.01342162]
86, [ 0.00117802 -0.00215725 -0.00229893], [ 0.02144752 -0.00299729  0.00277274]
87, [ 0.00117802 -0.00215725 -0.00229893], [ 0.02144752 -0.00299729  0.00277274]
88, [ 0.00117802 -0.00215725 -0.00229893], [ 0.02144752 -0.00299729  0.00277274]
89, [ 0.00431572 -0.00694206 -0.0080285 ], [ 0.00375584 -0.0024351  -0.01044338]
90, [-0.00028059  0.00037285  0.00091799], [0.01197372 0.00905244 0.00216235]
91, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
92, [ 0.00031763 -0.00085665  0.00012525], [-0.0002258  -0.00057348  0.00024341]
93, [ 0.00031763 -0.00085665  0.00012525], [-0.0002258  -0.00057348  0.00024341]
94, [ 0.00031763 -0.00085665  0.00012525], [-0.0002258  -0.00057348  0.00024341]
95, [ 0.00031763 -0.00085665  0.00012525], [-0.0002258  -0.00057348  0.00024341]
96, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
97, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
98, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
99, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
100, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
101, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
102, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
103, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
104, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
105, [-0.00091667  0.00238032  0.0024669 ], [ 0.02638432 -0.01215162  0.01342162]
106, [-0.00091667  0.00238032  0.0024669 ], [ 0.02638432 -0.01215162  0.01342162]
107, [ 0.00143629 -0.0024899  -0.00317506], [ 0.00960251 -0.01225709  0.00072112]
108, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
109, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
110, [ 0.00031763 -0.00085665  0.00012525], [-0.0002258  -0.00057348  0.00024341]
111, [ 0.00893285 -0.01605894 -0.01769689], [0.06662671 0.0473024  0.00563548]
112, [ 0.00893285 -0.01605894 -0.01769689], [0.06662671 0.0473024  0.00563548]
113, [ 0.00305549 -0.00505469 -0.00445155], [-0.00588963  0.00941235 -0.01091682]
114, [ 0.00305549 -0.00505469 -0.00445155], [-0.00588963  0.00941235 -0.01091682]
115, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
116, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
117, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
118, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
119, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
120, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
121, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
122, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
123, [0.00025005 0.00010196 0.00055793], [ 0.03587736 -0.02368297  0.01368446]
124, [-0.00091667  0.00238032  0.0024669 ], [ 0.02638432 -0.01215162  0.01342162]
125, [-0.00091667  0.00238032  0.0024669 ], [ 0.02638432 -0.01215162  0.01342162]
126, [ 0.00117802 -0.00215725 -0.00229893], [ 0.02144752 -0.00299729  0.00277274]
127, [ 0.0112327  -0.01884454 -0.02032398], [-0.01523898  0.00440251 -0.00771565]
128, [ 0.00270647 -0.0046776  -0.00602944], [ 0.01937768 -0.02437121  0.0013938 ]
129, [-0.00122091  0.00321183  0.00231702], [ 0.02661591 -0.01163786  0.01318965]
130, [ 0.00670932 -0.00901718 -0.01051194], [ 0.00713098 -0.00525081  0.01600572]
131, [ 0.00606831 -0.0096528  -0.00996536], [ 0.00781384 -0.00611212  0.01659432]
132, [ 0.0080711  -0.01136444 -0.01354026], [ 0.01698502 -0.01740386  0.01672552]
133, [-0.00121527  0.00348087  0.00156602], [ 0.02692162 -0.01186022  0.01349984]
134, [ 0.00576599 -0.00854056 -0.01087213], [ 0.00834936 -0.00582012  0.01667569]
135, [ 0.00671862 -0.00875182 -0.01127638], [ 0.00744355 -0.00551451  0.01633325]
136, [ 0.00237479 -0.0026839  -0.0035595 ], [ 0.00870458 -0.01192799  0.00036587]
137, [-0.00091667  0.00238032  0.0024669 ], [ 0.02638432 -0.01215162  0.01342162]
138, [-0.00091667  0.00238032  0.0024669 ], [ 0.02638432 -0.01215162  0.01342162]
139, [ 0.01276699 -0.02350841 -0.02662553], [ 0.06010771  0.03595034 -0.00702451]
140, [ 0.00518953 -0.0061015  -0.00792413], [-0.00221988  0.00676422  0.01557388]
141, [-0.00126144  0.00644394  0.00489712], [ 0.01743606 -0.00038595  0.01334587]
142, [ 0.00179875 -0.00073226 -0.00462574], [ 0.05156831  0.06373377 -0.01003036]
143, [-0.00121527  0.00348087  0.00156602], [ 0.02692162 -0.01186022  0.01349984]
144, [-0.00254631  0.00577728  0.00453597], [1.72909392e-02 2.26129003e-05 1.28888514e-02]
145, [-0.00254631  0.00577728  0.00453597], [1.72909392e-02 2.26129003e-05 1.28888514e-02]
146, [-0.00254631  0.00577728  0.00453597], [1.72909392e-02 2.26129003e-05 1.28888514e-02]
147, [-0.00254631  0.00577728  0.00453597], [1.72909392e-02 2.26129003e-05 1.28888514e-02]
148, [ 0.01109661 -0.02031347 -0.02374249], [ 0.05133955  0.04758586 -0.00697006]
149, [ 0.04547776 -0.08077435 -0.0870786 ], [ 0.0907545   0.07449361 -0.0085348 ]
150, [-0.00254631  0.00577728  0.00453597], [1.72909392e-02 2.26129003e-05 1.28888514e-02]
151, [-0.00254631  0.00577728  0.00453597], [1.72909392e-02 2.26129003e-05 1.28888514e-02]
152, [-0.00254631  0.00577728  0.00453597], [1.72909392e-02 2.26129003e-05 1.28888514e-02]
153, [-0.00254631  0.00577728  0.00453597], [1.72909392e-02 2.26129003e-05 1.28888514e-02]
154, [-0.01238055  0.02507355  0.02501261], [ 0.03173709 -0.00400785  0.02038778]
155, [-0.00695093  0.01512699  0.01487587], [ 0.00955283  0.00496796 -0.00277237]
156, [-0.00695093  0.01512699  0.01487587], [ 0.00955283  0.00496796 -0.00277237]
157, [ 0.00062737  0.00064492 -0.00183935], [-1.43192989e+00 -7.91516121e-01  4.62958700e-04]
158, [ 0.0365304  -0.06519892 -0.07087682], [ 0.08724306  0.07024601 -0.01459533]
159, [ 0.00237479 -0.0026839  -0.0035595 ], [ 0.00870458 -0.01192799  0.00036587]
160, [-0.00209596  0.00648014  0.00379229], [-1.45375767 -0.78343077  0.00324189]
161, [-0.00254631  0.00577728  0.00453597], [1.72909392e-02 2.26129003e-05 1.28888514e-02]
162, [-0.00753373  0.0163249   0.01564165], [ 0.02152058  0.01437228 -0.00084829]
163, [-0.00254631  0.00577728  0.00453597], [1.72909392e-02 2.26129003e-05 1.28888514e-02]
164, [ 0.000203   -0.0004087  -0.00296219], [0.07520086 0.0522509  0.0021361 ]
165, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
166, [-0.00224721  0.00467689  0.00543306], [ 0.01675461 -0.00027076  0.01280635]
167, [ 0.00092607 -0.00017457 -0.00036314], [-0.00089781  0.00033642 -0.00035951]
168, [ 0.00092607 -0.00017457 -0.00036314], [-0.00089781  0.00033642 -0.00035951]
169, [ 0.00180354 -0.00150382 -0.00281968], [ 0.02080821 -0.00215651  0.00219827]
170, [-0.00091667  0.00238032  0.0024669 ], [ 0.02638432 -0.01215162  0.01342162]
171, [-0.00091667  0.00238032  0.0024669 ], [ 0.02638432 -0.01215162  0.01342162]
172, [-0.0009624   0.00534372  0.00579427], [ 0.01689963 -0.00067884  0.01326318]
173, [ 0.05105599 -0.08970932 -0.09516016], [ 0.07072021  0.083708   -0.03275547]
174, [ 0.00606831 -0.0096528  -0.00996536], [ 0.00781384 -0.00611212  0.01659432]
175, [ 0.01072804 -0.01607817 -0.01734172], [-1.45928562 -0.78970276 -0.00225443]
176, [ 0.00493171 -0.01006408 -0.02029983], [0.00433463 0.00605977 0.0049545 ]
177, [-0.00413015  0.00621046  0.00327706], [0.01768211 0.00072509 0.01251428]
178, [ 0.00032558  0.00175224 -0.00273769], [-1.43118105e+00 -7.91354754e-01  5.28990070e-04]
179, [ 0.04445791 -0.08300433 -0.08577904], [ 0.08967417  0.07465349 -0.00941128]
180, [ 0.00811838 -0.01167067 -0.01413112], [-1.45360088 -0.76706391 -0.0063277 ]
181, [-0.00036429  0.00314322  0.0075886 ], [ 0.01582827 -0.00126427  0.01309815]
182, [-0.00466452  0.00514324  0.0030665 ], [-1.4541989  -0.78175301  0.00327076]
183, [ 0.01126301 -0.01624812 -0.01378177], [-0.01119409 -0.00649735  0.00353738]
184, [-0.00361578  0.01078388  0.01071559], [-1.47492223 -0.77734048  0.00635621]
185, [-0.00481628  0.00334116  0.00470851], [0.01646323 0.00054521 0.01189273]
186, [ 0.04657494 -0.08161708 -0.08650759], [ 0.07922515  0.06479585 -0.01036229]
187, [0.00064322 0.00020155 0.00055864], [0.0111096  0.00937488 0.00181472]
188, [ 0.00476987 -0.01032752 -0.01033119], [ 0.00766703 -0.00570356  0.01614087]
189, [-0.00066335  0.00424348  0.00669143], [ 0.0163637  -0.00097161  0.01318061]
190, [ 0.00572167 -0.01053852 -0.01073425], [ 0.00676175 -0.00539728  0.0157982 ]
191, [ 0.00637064 -0.01076505 -0.00905859], [ 0.00727884 -0.00640401  0.01651306]
192, [ 0.00637064 -0.01076505 -0.00905859], [ 0.00727884 -0.00640401  0.01651306]
193, [ 0.00081194 -0.00327961 -0.00227998], [ 0.02012611 -0.00204548  0.00165909]
194, [-0.00194811  0.00357649  0.00633017], [ 0.01621878 -0.00056402  0.01272397]
195, [-0.00194811  0.00357649  0.00633017], [ 0.01621878 -0.00056402  0.01272397]
196, [ 0.00387137 -0.00743447 -0.00638069], [0.00913525 0.01596998 0.01726285]
197, [-0.00194811  0.00357649  0.00633017], [ 0.01621878 -0.00056402  0.01272397]
