frame index, translation vector, rotation vector
1, [-0.0986619  -0.07239543 -0.05969994], [ 0.0973411   0.09655644 -0.01766197]
2, [-0.0986619  -0.07239543 -0.05969994], [ 0.0973411   0.09655644 -0.01766197]
3, [-0.0986619  -0.07239543 -0.05969994], [ 0.0973411   0.09655644 -0.01766197]
4, [-0.0986619  -0.07239543 -0.05969994], [ 0.0973411   0.09655644 -0.01766197]
5, [-0.0986619  -0.07239543 -0.05969994], [ 0.0973411   0.09655644 -0.01766197]
6, [-0.08244863 -0.10906462 -0.09831856], [ 0.07838223  0.08736507 -0.00959052]
7, [-0.08592831 -0.10126256 -0.09062425], [ 0.05831366  0.11382988 -0.00912974]
8, [-0.08592831 -0.10126256 -0.09062425], [ 0.05831366  0.11382988 -0.00912974]
9, [-0.08592831 -0.10126256 -0.09062425], [ 0.05831366  0.11382988 -0.00912974]
10, [-0.08592831 -0.10126256 -0.09062425], [ 0.05831366  0.11382988 -0.00912974]
11, [-0.08244863 -0.10906462 -0.09831856], [ 0.07838223  0.08736507 -0.00959052]
12, [-0.0986619  -0.07239543 -0.05969994], [ 0.0973411   0.09655644 -0.01766197]
16, [-0.09348978 -0.0828839  -0.07086262], [ 0.08736674  0.116558   -0.04149614]
17, [-0.07096188 -0.13347701 -0.12417631], [ 0.10924067  0.05518169 -0.03550014]
18, [-0.0986619  -0.07239543 -0.05969994], [ 0.0973411   0.09655644 -0.01766197]
19, [-0.07692284 -0.12031595 -0.1102882 ], [ 0.06769237  0.10836724 -0.03416415]
20, [-0.07692284 -0.12031595 -0.1102882 ], [ 0.06769237  0.10836724 -0.03416415]
21, [-0.08244863 -0.10906462 -0.09831856], [ 0.07838223  0.08736507 -0.00959052]
22, [-0.09947912 -0.07070581 -0.05739164], [ 0.12237435  0.11570491 -0.01313803]
23, [-0.09822023 -0.0736216  -0.06017815], [-1.56102672 -0.76626256  0.02529762]
24, [-0.09822023 -0.0736216  -0.06017815], [-1.56102672 -0.76626256  0.02529762]
25, [-0.09947912 -0.07070581 -0.05739164], [ 0.12237435  0.11570491 -0.01313803]
26, [-0.09947912 -0.07070581 -0.05739164], [ 0.12237435  0.11570491 -0.01313803]
27, [-0.07692284 -0.12031595 -0.1102882 ], [ 0.06769237  0.10836724 -0.03416415]
28, [-0.07692284 -0.12031595 -0.1102882 ], [ 0.06769237  0.10836724 -0.03416415]
29, [-0.08244863 -0.10906462 -0.09831856], [ 0.07838223  0.08736507 -0.00959052]
30, [-0.09348978 -0.0828839  -0.07086262], [ 0.08736674  0.116558   -0.04149614]
31, [-0.09947912 -0.07070581 -0.05739164], [ 0.12237435  0.11570491 -0.01313803]
33, [-0.0851703  -0.10155857 -0.08896254], [ 0.05861515  0.11279688 -0.0084507 ]
34, [-0.08890232 -0.09404872 -0.08225792], [-1.59075549 -0.73242292  0.04148974]
35, [-0.08126427 -0.110672   -0.10088276], [-1.51151202 -0.80394182  0.05783099]
36, [-0.07692284 -0.12031595 -0.1102882 ], [ 0.06769237  0.10836724 -0.03416415]
38, [-0.09822023 -0.0736216  -0.06017815], [-1.56102672 -0.76626256  0.02529762]
39, [-0.0851703  -0.10155857 -0.08896254], [ 0.05861515  0.11279688 -0.0084507 ]
40, [-0.0851703  -0.10155857 -0.08896254], [ 0.05861515  0.11279688 -0.0084507 ]
41, [-0.09822023 -0.0736216  -0.06017815], [-1.56102672 -0.76626256  0.02529762]
42, [-0.09822023 -0.0736216  -0.06017815], [-1.56102672 -0.76626256  0.02529762]
43, [-0.09822023 -0.0736216  -0.06017815], [-1.56102672 -0.76626256  0.02529762]
