frame index, translation vector, rotation vector
1, [-0.03502747 -0.06959327  0.0574934 ], [ 0.13281437  0.15961197 -0.01399143]
2, [-0.03502747 -0.06959327  0.0574934 ], [ 0.13281437  0.15961197 -0.01399143]
3, [-0.03502747 -0.06959327  0.0574934 ], [ 0.13281437  0.15961197 -0.01399143]
4, [-0.03502747 -0.06959327  0.0574934 ], [ 0.13281437  0.15961197 -0.01399143]
5, [-0.03502747 -0.06959327  0.0574934 ], [ 0.13281437  0.15961197 -0.01399143]
6, [-0.03502747 -0.06959327  0.0574934 ], [ 0.13281437  0.15961197 -0.01399143]
10, [-0.03502747 -0.06959327  0.0574934 ], [ 0.13281437  0.15961197 -0.01399143]
11, [-0.03502747 -0.06959327  0.0574934 ], [ 0.13281437  0.15961197 -0.01399143]
12, [-0.03502747 -0.06959327  0.0574934 ], [ 0.13281437  0.15961197 -0.01399143]
16, [-0.01727871 -0.10431035  0.02356563], [ 0.11737033  0.15417488 -0.00629635]
17, [-0.03502747 -0.06959327  0.0574934 ], [ 0.13281437  0.15961197 -0.01399143]
18, [-0.03502747 -0.06959327  0.0574934 ], [ 0.13281437  0.15961197 -0.01399143]
19, [-0.03502747 -0.06959327  0.0574934 ], [ 0.13281437  0.15961197 -0.01399143]
20, [-0.03502747 -0.06959327  0.0574934 ], [ 0.13281437  0.15961197 -0.01399143]
21, [-0.03502747 -0.06959327  0.0574934 ], [ 0.13281437  0.15961197 -0.01399143]
22, [-0.03502747 -0.06959327  0.0574934 ], [ 0.13281437  0.15961197 -0.01399143]
23, [-0.00782451 -0.1233548   0.00550073], [ 0.07981656  0.17451308 -0.0592354 ]
24, [-0.03502747 -0.06959327  0.0574934 ], [ 0.13281437  0.15961197 -0.01399143]
25, [-0.03502747 -0.06959327  0.0574934 ], [ 0.13281437  0.15961197 -0.01399143]
26, [-0.03502747 -0.06959327  0.0574934 ], [ 0.13281437  0.15961197 -0.01399143]
27, [-0.03502747 -0.06959327  0.0574934 ], [ 0.13281437  0.15961197 -0.01399143]
28, [-0.03502747 -0.06959327  0.0574934 ], [ 0.13281437  0.15961197 -0.01399143]
29, [-0.03502747 -0.06959327  0.0574934 ], [ 0.13281437  0.15961197 -0.01399143]
30, [-0.01727871 -0.10431035  0.02356563], [ 0.11737033  0.15417488 -0.00629635]
31, [-0.01727871 -0.10431035  0.02356563], [ 0.11737033  0.15417488 -0.00629635]
32, [-0.0124091  -0.113221    0.01479834], [ 0.11056884  0.17260674 -0.02982814]
33, [-0.00782451 -0.1233548   0.00550073], [ 0.07981656  0.17451308 -0.0592354 ]
34, [-0.03961041 -0.06028359  0.06608245], [ 0.11617437  0.18225441 -0.01258399]
36, [-0.03961041 -0.06028359  0.06608245], [ 0.11617437  0.18225441 -0.01258399]
71, [ 0.00088839 -0.14151955 -0.01264139], [0.10034565 0.1489784  0.00092965]
92, [-0.01825488 -0.10355466  0.02587691], [ 0.09391162  0.19578897 -0.02830372]
93, [-0.02186012 -0.09551462  0.03363595], [ 0.09969039  0.17731303 -0.00523821]
94, [-0.01825488 -0.10355466  0.02587691], [ 0.09391162  0.19578897 -0.02830372]
106, [-0.03502747 -0.06959327  0.0574934 ], [ 0.13281437  0.15961197 -0.01399143]
125, [ 0.03094036 -0.20184294 -0.07092699], [ 0.09300631  0.13792842 -0.01734426]
126, [ 0.05172634 -0.2443798  -0.11230721], [ 0.07384326  0.13178676 -0.00989066]
128, [ 0.06203698 -0.2648903  -0.1328587 ], [ 0.03037331  0.15663673 -0.06894271]
129, [ 0.05751456 -0.25674748 -0.12483334], [ 0.03823109  0.13415191 -0.04213256]
